dataset,occurrence_count,distinct_labels,loc,v(g),ev(g),iv(g),n,v,l,d,i,e,b,t,lOCode,lOComment,lOBlank,locCodeAndComment,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount,lOCodeAndComment,iv(G),N,V,L,D,I,E,B,T
CM1,2,False|True,7.0,1.0,1.0,1.0,30.0,122.62,0.18,5.63,21.8,689.76,0.04,38.32,0,0,0,0.0,9.0,8.0,20.0,10.0,1.0,,,,,,,,,,
JM1,185,False|True,4.0,1.0,1.0,1.0,4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,2,0,0,0.0,3.0,1.0,3.0,1.0,1.0,,,,,,,,,,
JM1,198,False|True,4.0,1.0,1.0,1.0,5.0,11.61,0.67,1.5,7.74,17.41,0.0,0.97,2,0,0,0.0,3.0,2.0,3.0,2.0,1.0,,,,,,,,,,
JM1,43,False|True,4.0,1.0,1.0,1.0,6.0,15.51,0.5,2.0,7.75,31.02,0.01,1.72,2,0,0,0.0,4.0,2.0,4.0,2.0,1.0,,,,,,,,,,
JM1,5,False|True,4.0,1.0,1.0,1.0,7.0,19.65,0.33,3.0,6.55,58.95,0.01,3.28,2,0,0,0.0,6.0,1.0,6.0,1.0,1.0,,,,,,,,,,
JM1,24,False|True,4.0,1.0,1.0,1.0,7.0,19.65,0.4,2.5,7.86,49.13,0.01,2.73,2,0,0,0.0,5.0,2.0,5.0,2.0,1.0,,,,,,,,,,
JM1,134,False|True,4.0,1.0,1.0,1.0,7.0,19.65,0.5,2.0,9.83,39.3,0.01,2.18,2,0,0,0.0,4.0,3.0,4.0,3.0,1.0,,,,,,,,,,
JM1,25,False|True,4.0,1.0,1.0,1.0,8.0,24.0,0.4,2.5,9.6,60.0,0.01,3.33,2,0,0,0.0,5.0,3.0,5.0,3.0,1.0,,,,,,,,,,
JM1,35,False|True,4.0,1.0,1.0,1.0,9.0,27.0,0.4,2.5,10.8,67.5,0.01,3.75,2,0,0,0.0,5.0,3.0,6.0,3.0,1.0,,,,,,,,,,
JM1,11,False|True,4.0,1.0,1.0,1.0,10.0,30.0,0.5,2.0,15.0,60.0,0.01,3.33,2,0,0,0.0,4.0,4.0,6.0,4.0,1.0,,,,,,,,,,
JM1,4,False|True,4.0,1.0,1.0,1.0,11.0,36.54,0.29,3.5,10.44,127.89,0.01,7.11,2,0,0,0.0,7.0,3.0,8.0,3.0,1.0,,,,,,,,,,
JM1,17,False|True,5.0,1.0,1.0,1.0,4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,2,0,1,0.0,3.0,1.0,3.0,1.0,1.0,,,,,,,,,,
JM1,7,False|True,5.0,1.0,1.0,1.0,5.0,11.61,0.67,1.5,7.74,17.41,0.0,0.97,2,0,1,0.0,3.0,2.0,3.0,2.0,1.0,,,,,,,,,,
JM1,11,False|True,5.0,1.0,1.0,1.0,7.0,16.25,0.67,1.5,10.84,24.38,0.01,1.35,3,0,0,0.0,3.0,2.0,5.0,2.0,1.0,,,,,,,,,,
JM1,6,False|True,5.0,1.0,1.0,1.0,7.0,19.65,0.4,2.5,7.86,49.13,0.01,2.73,2,0,1,0.0,5.0,2.0,5.0,2.0,1.0,,,,,,,,,,
JM1,4,False|True,5.0,1.0,1.0,1.0,7.0,19.65,0.5,2.0,9.83,39.3,0.01,2.18,2,0,0,0.0,4.0,3.0,4.0,3.0,1.0,,,,,,,,,,
JM1,16,False|True,5.0,1.0,1.0,1.0,9.0,25.27,0.67,1.5,16.84,37.9,0.01,2.11,3,0,0,0.0,3.0,4.0,5.0,4.0,1.0,,,,,,,,,,
JM1,2,False|True,5.0,1.0,1.0,1.0,10.0,30.0,0.5,2.0,15.0,60.0,0.01,3.33,3,0,0,0.0,4.0,4.0,6.0,4.0,1.0,,,,,,,,,,
