dataset,row_id,feature_group_id,defects,partition
CM1,0,0,False,train
CM1,1,1,True,validation
CM1,2,2,False,test
CM1,3,3,False,train
CM1,4,4,False,train
CM1,5,4,False,train
CM1,6,5,False,train
CM1,7,6,False,train
CM1,8,7,False,train
CM1,9,8,False,train
CM1,10,9,False,train
CM1,11,10,False,validation
CM1,12,11,False,train
CM1,13,12,False,train
CM1,14,13,False,train
CM1,15,14,False,test
CM1,16,15,False,train
CM1,17,16,False,train
CM1,18,17,False,train
CM1,19,18,False,train
CM1,20,19,False,train
CM1,21,20,False,validation
CM1,22,21,False,test
CM1,23,22,False,test
CM1,24,23,False,train
CM1,25,24,False,validation
CM1,26,25,False,validation
CM1,27,26,False,train
CM1,28,27,False,train
CM1,29,28,False,train
CM1,30,29,False,train
CM1,31,30,False,train
CM1,32,31,False,train
CM1,33,32,False,train
CM1,34,33,False,train
CM1,35,34,False,train
CM1,36,35,False,test
CM1,37,36,False,train
CM1,38,37,False,train
CM1,39,38,False,train
CM1,40,39,False,train
CM1,41,40,False,train
CM1,42,41,False,train
CM1,43,42,False,train
CM1,44,43,False,train
CM1,45,44,False,test
CM1,46,45,False,train
CM1,47,46,False,train
CM1,48,47,False,validation
CM1,49,48,False,train
CM1,50,49,False,test
CM1,51,50,False,test
CM1,52,51,False,test
CM1,53,52,False,train
CM1,54,53,False,test
CM1,55,54,False,test
CM1,56,55,False,test
CM1,57,56,False,train
CM1,58,57,False,train
CM1,59,58,False,validation
CM1,60,59,False,test
CM1,61,60,False,train
CM1,62,60,False,train
CM1,63,61,False,train
CM1,64,62,False,train
CM1,65,63,False,train
CM1,66,64,False,validation
CM1,67,65,False,train
CM1,68,66,False,train
CM1,69,67,False,train
CM1,70,68,False,train
CM1,71,69,False,train
CM1,72,70,False,validation
CM1,73,71,False,train
CM1,74,72,False,test
CM1,75,73,False,train
CM1,76,74,False,train
CM1,77,75,False,train
CM1,78,76,False,train
CM1,79,77,False,train
CM1,80,78,False,train
CM1,81,79,False,validation
CM1,82,80,False,validation
CM1,83,81,False,test
CM1,84,82,False,train
CM1,85,83,False,train
CM1,86,84,False,train
CM1,87,85,False,train
CM1,88,86,False,train
CM1,89,87,False,train
CM1,90,88,False,test
CM1,91,89,False,test
CM1,92,90,False,train
CM1,93,91,False,train
CM1,94,92,False,test
CM1,95,93,False,validation
CM1,96,81,False,test
CM1,97,94,False,validation
