dataset,row_id,feature_group_id,defects,partition
JM1,0,0,False,validation
JM1,1,1,True,train
JM1,2,2,True,train
JM1,3,3,True,validation
JM1,4,4,True,test
JM1,5,5,True,test
JM1,6,6,True,train
JM1,7,7,True,train
JM1,8,8,True,validation
JM1,9,9,True,train
JM1,10,10,True,train
JM1,11,11,True,train
JM1,12,12,True,test
JM1,13,13,True,train
JM1,14,14,True,train
JM1,15,15,True,train
JM1,16,16,True,validation
JM1,17,17,True,test
JM1,18,18,True,train
JM1,19,19,True,train
JM1,20,20,True,test
JM1,21,21,True,train
JM1,22,22,True,train
JM1,23,23,True,train
JM1,24,24,True,train
JM1,25,25,True,train
JM1,26,26,True,test
JM1,27,27,True,test
JM1,28,28,True,train
JM1,29,29,True,train
JM1,30,30,True,validation
JM1,31,31,True,train
JM1,32,32,True,train
JM1,33,33,True,train
JM1,34,34,True,train
JM1,35,35,True,validation
JM1,36,36,True,validation
JM1,37,37,True,train
JM1,38,38,True,train
JM1,39,39,True,validation
JM1,40,40,True,test
JM1,41,41,True,train
JM1,42,42,True,train
JM1,43,43,True,validation
JM1,44,44,True,train
JM1,45,45,True,train
JM1,46,46,True,validation
JM1,47,47,True,train
JM1,48,48,True,train
JM1,49,49,True,train
JM1,50,50,True,train
JM1,51,51,True,train
JM1,52,52,True,train
JM1,53,53,True,train
JM1,54,54,True,validation
JM1,55,55,True,train
JM1,56,55,True,train
JM1,57,56,True,validation
JM1,58,57,True,train
JM1,59,55,True,train
JM1,60,58,True,test
JM1,61,59,True,train
JM1,62,60,True,train
JM1,63,61,True,train
JM1,64,62,True,train
JM1,65,55,True,train
JM1,66,63,True,train
JM1,67,64,True,train
JM1,68,65,True,train
JM1,69,66,True,train
JM1,70,67,True,train
JM1,71,68,True,train
JM1,72,69,True,test
JM1,73,70,True,train
JM1,74,71,True,test
JM1,75,72,True,test
JM1,76,73,True,train
JM1,77,74,True,train
JM1,78,75,True,train
JM1,79,76,True,train
JM1,80,77,True,train
JM1,81,78,True,validation
JM1,82,79,True,train
JM1,83,80,True,train
JM1,84,81,True,train
JM1,85,82,True,validation
JM1,86,83,True,validation
JM1,87,84,True,validation
JM1,88,85,True,train
JM1,89,86,True,test
JM1,90,87,True,test
JM1,91,87,True,test
JM1,92,87,True,test
JM1,93,87,True,test
JM1,94,87,True,test
JM1,95,88,True,train
JM1,96,89,True,test
JM1,97,90,True,train
JM1,98,91,True,test
JM1,99,92,True,train
JM1,100,93,True,test
JM1,101,94,True,test
JM1,102,95,True,train
JM1,103,96,True,train
JM1,104,97,True,test
JM1,105,98,True,train
JM1,106,99,True,validation
JM1,107,100,True,train
JM1,108,101,True,train
JM1,109,102,True,train
JM1,110,103,True,test
