dataset,row_id,feature_group_id,defects,partition
KC1,0,0,False,train
KC1,1,1,True,train
KC1,2,2,True,train
KC1,3,3,True,train
KC1,4,4,True,test
KC1,5,5,True,validation
KC1,6,6,True,test
KC1,7,7,True,train
KC1,8,8,True,train
KC1,9,9,True,train
KC1,10,10,True,train
KC1,11,11,True,train
KC1,12,12,True,validation
KC1,13,13,True,test
KC1,14,14,True,train
KC1,15,15,True,train
KC1,16,16,True,train
KC1,17,17,True,train
KC1,18,18,True,train
KC1,19,19,True,train
KC1,20,20,True,train
KC1,21,21,True,train
KC1,22,22,True,validation
KC1,23,23,True,validation
KC1,24,24,True,train
KC1,25,25,True,test
KC1,26,26,True,test
KC1,27,27,True,test
KC1,28,28,True,train
KC1,29,29,True,train
KC1,30,30,True,train
KC1,31,31,True,train
KC1,32,32,True,test
KC1,33,33,True,train
KC1,34,34,True,train
KC1,35,35,True,test
KC1,36,36,True,validation
KC1,37,37,True,test
KC1,38,38,True,train
KC1,39,39,True,validation
KC1,40,40,True,train
KC1,41,41,True,test
KC1,42,42,True,train
KC1,43,43,True,test
KC1,44,44,True,train
KC1,45,45,True,test
KC1,46,46,True,train
KC1,47,47,True,train
KC1,48,48,True,train
KC1,49,49,True,train
KC1,50,50,True,train
KC1,51,51,True,train
KC1,52,52,True,train
KC1,53,53,True,train
KC1,54,54,True,train
KC1,55,55,True,validation
KC1,56,56,True,train
KC1,57,57,True,train
KC1,58,58,True,train
KC1,59,59,True,train
KC1,60,60,True,train
KC1,61,61,True,train
KC1,62,62,True,train
KC1,63,63,True,test
KC1,64,64,True,train
KC1,65,65,True,train
KC1,66,66,True,train
KC1,67,67,True,train
KC1,68,68,True,test
KC1,69,69,True,test
KC1,70,70,True,train
KC1,71,71,True,train
KC1,72,72,True,test
KC1,73,73,True,train
KC1,74,74,True,train
KC1,75,75,True,validation
KC1,76,76,True,train
KC1,77,77,True,train
KC1,78,78,True,test
KC1,79,79,True,train
KC1,80,80,True,train
KC1,81,81,True,train
KC1,82,82,True,test
KC1,83,83,True,test
KC1,84,84,True,train
KC1,85,85,True,train
KC1,86,86,True,validation
KC1,87,87,True,test
KC1,88,88,True,train
KC1,89,89,True,train
KC1,90,90,True,train
KC1,91,91,True,validation
KC1,92,83,True,test
KC1,93,92,True,train
KC1,94,93,True,train
KC1,95,94,True,train
KC1,96,95,True,train
KC1,97,96,True,train
KC1,98,97,True,train
KC1,99,98,True,train
KC1,100,99,True,test
KC1,101,100,True,test
KC1,102,101,True,validation
KC1,103,102,True,train
KC1,104,103,True,train
KC1,105,104,True,validation
KC1,106,105,True,train
KC1,107,106,True,test
KC1,108,107,True,train
KC1,109,108,True,validation
KC1,110,109,True,train
KC1,111,110,True,validation
KC1,112,111,True,train
KC1,113,112,True,validation
KC1,114,113,True,train
KC1,115,114,True,test
KC1,116,115,True,validation
KC1,117,116,True,test
KC1,118,117,True,test
KC1,119,118,True,train
KC1,120,119,True,train
KC1,121,120,True,train
KC1,122,121,True,train
KC1,123,122,True,validation
KC1,124,123,True,test
KC1,125,124,True,train
KC1,126,125,True,train
KC1,127,126,True,validation
KC1,128,127,True,train
KC1,129,128,True,train
KC1,130,129,True,validation
KC1,131,130,True,train
KC1,132,131,True,validation
KC1,133,132,True,train
KC1,134,133,True,train
KC1,135,134,True,validation
KC1,136,135,True,train
KC1,137,136,True,validation
KC1,138,137,True,train
KC1,139,138,True,test
KC1,140,139,True,test
KC1,141,140,True,train
KC1,142,141,True,test
KC1,143,142,True,validation
KC1,144,143,True,validation
KC1,145,144,True,test
KC1,146,145,True,train
KC1,147,146,True,train
KC1,148,147,True,train
KC1,149,148,True,train
KC1,150,83,True,test
KC1,151,149,True,train
KC1,152,150,True,train
KC1,153,151,True,validation
KC1,154,152,True,train
KC1,155,153,True,train
KC1,156,154,True,test
KC1,157,155,True,train
KC1,158,156,True,train
KC1,159,157,True,train
KC1,160,158,True,train
KC1,161,159,True,test
KC1,162,160,True,train
KC1,163,161,True,test
KC1,164,162,True,train
KC1,165,163,True,train
KC1,166,164,True,train
KC1,167,165,True,validation
KC1,168,166,True,train
KC1,169,167,True,train
KC1,170,168,True,train
KC1,171,169,True,train
KC1,172,170,True,train
KC1,173,171,True,train
KC1,174,172,True,train
KC1,175,173,True,train
KC1,176,174,True,train
KC1,177,175,True,train
KC1,178,176,True,train
KC1,179,177,True,train
KC1,180,178,True,train
KC1,181,179,True,train
KC1,182,180,True,train
KC1,183,181,True,train
KC1,184,182,True,test
KC1,185,171,True,train
KC1,186,183,True,train
KC1,187,184,True,train
KC1,188,158,True,train
KC1,189,185,True,validation
KC1,190,186,True,train
KC1,191,187,True,train
KC1,192,188,True,test
KC1,193,189,True,test
KC1,194,190,True,train
KC1,195,191,True,train
KC1,196,192,True,train
KC1,197,193,True,train
KC1,198,194,True,test
KC1,199,195,True,validation
KC1,200,83,True,test
KC1,201,196,True,validation
KC1,202,197,True,train
KC1,203,198,True,validation
KC1,204,199,True,train
KC1,205,200,True,train
KC1,206,201,True,train
KC1,207,202,True,train
KC1,208,203,True,test
KC1,209,204,True,train
KC1,210,205,True,validation
KC1,211,206,True,train
KC1,212,206,True,train
KC1,213,206,True,train
KC1,214,207,True,test
KC1,215,208,True,train
KC1,216,209,True,train
KC1,217,210,True,train
KC1,218,211,True,train
KC1,219,212,True,test
KC1,220,213,True,train
KC1,221,214,True,train
KC1,222,215,True,validation
KC1,223,216,True,train
KC1,224,217,True,train
KC1,225,218,True,train
KC1,226,219,True,validation
KC1,227,220,True,train
KC1,228,221,True,train
KC1,229,222,True,test
KC1,230,223,True,train
KC1,231,224,True,train
KC1,232,225,True,train
KC1,233,226,True,validation
KC1,234,227,True,train
KC1,235,228,True,validation
KC1,236,229,True,validation
KC1,237,230,True,test
KC1,238,231,True,train
KC1,239,232,True,train
KC1,240,233,True,test
KC1,241,234,True,train
KC1,242,235,True,train
KC1,243,236,True,test
KC1,244,237,True,train
KC1,245,238,True,test
KC1,246,239,True,test
KC1,247,240,True,test
KC1,248,241,True,train
KC1,249,242,True,train
KC1,250,243,True,test
KC1,251,244,True,validation
KC1,252,245,True,train
KC1,253,246,True,test
KC1,254,247,True,validation
KC1,255,248,True,validation
KC1,256,249,True,validation
KC1,257,250,True,train
KC1,258,251,True,train
KC1,259,252,True,train
KC1,260,253,True,test
KC1,261,254,True,train
KC1,262,255,True,train
KC1,263,256,True,train
KC1,264,257,True,test
KC1,265,258,True,test
KC1,266,259,True,validation
KC1,267,260,True,train
KC1,268,261,True,train
KC1,269,262,True,train
KC1,270,263,True,train
KC1,271,264,True,test
KC1,272,265,True,train
KC1,273,266,True,train
KC1,274,266,True,train
KC1,275,266,True,train
KC1,276,266,True,train
KC1,277,267,True,validation
KC1,278,268,True,validation
KC1,279,269,True,train
KC1,280,270,True,train
KC1,281,271,True,train
KC1,282,272,True,validation
KC1,283,273,True,train
KC1,284,274,True,train
KC1,285,275,True,test
KC1,286,276,True,train
KC1,287,277,True,train
KC1,288,278,True,train
KC1,289,279,True,validation
KC1,290,280,True,train
KC1,291,281,True,train
KC1,292,282,True,train
KC1,293,283,True,train
KC1,294,284,True,train
KC1,295,285,True,test
KC1,296,286,True,train
KC1,297,287,True,test
KC1,298,288,True,test
KC1,299,289,True,train
KC1,300,290,True,train
KC1,301,160,True,train
KC1,302,291,True,train
KC1,303,292,True,test
KC1,304,293,True,validation
KC1,305,294,True,test
KC1,306,295,True,train
KC1,307,296,True,test
KC1,308,297,True,validation
KC1,309,298,True,validation
KC1,310,299,True,train
KC1,311,300,True,train
KC1,312,301,True,validation
KC1,313,302,True,train
KC1,314,303,True,train
KC1,315,304,True,test
KC1,316,305,True,train
KC1,317,306,True,test
KC1,318,307,True,train
KC1,319,308,True,train
KC1,320,309,True,test
KC1,321,310,True,train
KC1,322,311,True,validation
KC1,323,312,True,train
KC1,324,313,True,train
KC1,325,314,True,train
KC1,326,315,True,train
KC1,327,316,False,test
KC1,328,158,False,train
KC1,329,158,False,train
KC1,330,158,False,train
KC1,331,317,False,train
KC1,332,316,False,test
KC1,333,158,False,train
KC1,334,158,False,train
KC1,335,158,False,train
KC1,336,318,False,train
KC1,337,317,False,train
KC1,338,158,False,train
KC1,339,317,False,train
KC1,340,319,False,validation
KC1,341,320,False,train
KC1,342,321,False,train
KC1,343,321,False,train
KC1,344,321,False,train
KC1,345,322,False,test
KC1,346,323,False,test
KC1,347,324,False,train
KC1,348,325,False,train
KC1,349,326,False,validation
KC1,350,327,False,validation
KC1,351,328,False,validation
KC1,352,329,False,test
KC1,353,330,False,train
KC1,354,331,False,train
KC1,355,4,False,test
KC1,356,332,False,validation
KC1,357,333,False,validation
KC1,358,334,False,test
KC1,359,335,False,train
KC1,360,335,False,train
KC1,361,336,False,test
KC1,362,337,False,test
KC1,363,338,False,validation
KC1,364,339,False,train
KC1,365,340,False,train
KC1,366,341,False,train
KC1,367,342,False,test
KC1,368,343,False,validation
KC1,369,344,False,train
KC1,370,345,False,train
KC1,371,346,False,train
KC1,372,347,False,train
KC1,373,348,False,validation
KC1,374,349,False,test
KC1,375,350,False,train
KC1,376,351,False,train
KC1,377,352,False,train
KC1,378,353,False,train
KC1,379,354,False,test
KC1,380,355,False,train
KC1,381,356,False,train
KC1,382,357,False,train
KC1,383,358,False,train
KC1,384,359,False,train
KC1,385,360,False,test
KC1,386,361,False,train
KC1,387,362,False,train
KC1,388,363,False,validation
KC1,389,364,False,test
KC1,390,365,False,train
KC1,391,366,False,test
KC1,392,367,False,train
KC1,393,366,False,test
KC1,394,368,False,validation
KC1,395,369,False,train
KC1,396,370,False,train
KC1,397,371,False,train
KC1,398,370,False,train
KC1,399,372,False,train
KC1,400,373,False,test
KC1,401,158,False,train
KC1,402,374,False,validation
KC1,403,375,False,train
KC1,404,376,False,validation
KC1,405,377,False,train
KC1,406,378,False,train
KC1,407,158,False,train
KC1,408,379,False,validation
KC1,409,158,False,train
KC1,410,380,False,train
KC1,411,381,False,train
KC1,412,382,False,test
KC1,413,377,False,train
KC1,414,383,False,train
KC1,415,384,False,train
KC1,416,385,False,train
KC1,417,386,False,train
KC1,418,387,False,test
KC1,419,388,False,train
KC1,420,389,False,test
KC1,421,390,False,train
KC1,422,391,False,train
KC1,423,392,False,train
KC1,424,393,False,test
KC1,425,394,False,train
KC1,426,395,False,validation
KC1,427,396,False,train
KC1,428,396,False,train
KC1,429,395,False,validation
KC1,430,395,False,validation
KC1,431,395,False,validation
KC1,432,397,False,test
KC1,433,395,False,validation
KC1,434,395,False,validation
KC1,435,397,False,test
KC1,436,398,False,train
KC1,437,399,False,train
KC1,438,400,False,test
KC1,439,401,False,test
KC1,440,402,False,train
KC1,441,83,False,test
KC1,442,402,False,train
KC1,443,83,False,test
KC1,444,402,False,train
KC1,445,402,False,train
KC1,446,402,False,train
KC1,447,83,False,test
KC1,448,403,False,train
KC1,449,83,False,test
KC1,450,83,False,test
KC1,451,83,False,test
KC1,452,402,False,train
KC1,453,402,False,train
KC1,454,83,False,test
KC1,455,83,False,test
KC1,456,83,False,test
KC1,457,83,False,test
KC1,458,402,False,train
KC1,459,83,False,test
KC1,460,83,False,test
KC1,461,402,False,train
KC1,462,83,False,test
KC1,463,355,False,train
KC1,464,402,False,train
KC1,465,83,False,test
KC1,466,83,False,test
KC1,467,83,False,test
KC1,468,402,False,train
KC1,469,402,False,train
KC1,470,83,False,test
KC1,471,83,False,test
KC1,472,83,False,test
KC1,473,402,False,train
KC1,474,402,False,train
KC1,475,402,False,train
KC1,476,83,False,test
KC1,477,402,False,train
KC1,478,402,False,train
KC1,479,402,False,train
KC1,480,83,False,test
KC1,481,402,False,train
KC1,482,83,False,test
KC1,483,83,False,test
KC1,484,83,False,test
KC1,485,83,False,test
KC1,486,83,False,test
KC1,487,402,False,train
KC1,488,83,False,test
KC1,489,83,False,test
KC1,490,83,False,test
KC1,491,404,False,test
KC1,492,404,False,test
KC1,493,405,False,train
KC1,494,406,False,train
KC1,495,407,False,test
KC1,496,408,False,test
KC1,497,404,False,test
KC1,498,404,False,test
KC1,499,409,False,train
KC1,500,27,False,test
KC1,501,27,False,test
KC1,502,406,False,train
KC1,503,409,False,train
KC1,504,410,False,train
KC1,505,411,False,train
KC1,506,404,False,test
KC1,507,27,False,test
KC1,508,409,False,train
KC1,509,412,False,train
KC1,510,27,False,test
KC1,511,412,False,train
KC1,512,404,False,test
KC1,513,27,False,test
KC1,514,27,False,test
KC1,515,413,False,validation
KC1,516,414,False,train
KC1,517,365,False,train
KC1,518,366,False,test
KC1,519,143,False,validation
KC1,520,143,False,validation
KC1,521,415,False,train
KC1,522,416,False,train
KC1,523,417,False,train
KC1,524,417,False,train
KC1,525,415,False,train
KC1,526,415,False,train
KC1,527,418,False,train
KC1,528,418,False,train
KC1,529,419,False,train
KC1,530,420,False,validation
KC1,531,420,False,validation
KC1,532,421,False,train
KC1,533,422,False,train
KC1,534,423,False,test
KC1,535,420,False,validation
KC1,536,420,False,validation
KC1,537,424,False,train
KC1,538,425,False,validation
KC1,539,426,False,train
KC1,540,427,False,train
KC1,541,428,False,train
KC1,542,429,False,train
KC1,543,430,False,test
KC1,544,431,False,train
KC1,545,432,False,test
KC1,546,433,False,train
KC1,547,434,False,train
KC1,548,435,False,train
KC1,549,436,False,test
KC1,550,437,False,train
KC1,551,35,False,test
KC1,552,438,False,train
KC1,553,439,False,train
KC1,554,218,False,train
KC1,555,440,False,test
KC1,556,441,False,train
KC1,557,366,False,test
KC1,558,442,False,train
KC1,559,366,False,test
KC1,560,440,False,test
KC1,561,218,False,train
KC1,562,441,False,train
KC1,563,366,False,test
KC1,564,443,False,train
KC1,565,444,False,train
KC1,566,445,False,train
KC1,567,446,False,train
KC1,568,215,False,validation
KC1,569,447,False,validation
KC1,570,446,False,train
KC1,571,448,False,train
KC1,572,449,False,validation
KC1,573,450,False,train
KC1,574,451,False,train
KC1,575,414,False,train
KC1,576,452,False,train
KC1,577,366,False,test
KC1,578,453,False,train
KC1,579,98,False,train
KC1,580,98,False,train
KC1,581,454,False,validation
KC1,582,455,False,validation
KC1,583,456,False,train
KC1,584,37,False,test
KC1,585,457,False,validation
KC1,586,458,False,test
KC1,587,459,False,train
KC1,588,460,False,validation
KC1,589,461,False,test
KC1,590,462,False,test
KC1,591,463,False,test
KC1,592,464,False,train
KC1,593,465,False,train
KC1,594,466,False,train
KC1,595,458,False,test
KC1,596,466,False,train
KC1,597,466,False,train
KC1,598,466,False,train
KC1,599,467,False,train
KC1,600,458,False,test
KC1,601,466,False,train
KC1,602,464,False,train
KC1,603,466,False,train
KC1,604,468,False,test
KC1,605,468,False,test
KC1,606,469,False,train
KC1,607,470,False,train
KC1,608,468,False,test
KC1,609,471,False,train
KC1,610,472,False,test
KC1,611,473,False,train
KC1,612,474,False,train
KC1,613,475,False,train
KC1,614,476,False,validation
KC1,615,476,False,validation
KC1,616,477,False,train
KC1,617,478,False,train
KC1,618,479,False,train
KC1,619,480,False,train
KC1,620,481,False,train
KC1,621,451,False,train
KC1,622,446,False,train
KC1,623,482,False,train
KC1,624,414,False,train
KC1,625,218,False,train
KC1,626,452,False,train
KC1,627,366,False,test
KC1,628,483,False,train
KC1,629,452,False,train
KC1,630,366,False,test
KC1,631,414,False,train
KC1,632,218,False,train
KC1,633,452,False,train
KC1,634,366,False,test
KC1,635,484,False,train
KC1,636,485,False,train
KC1,637,486,False,validation
KC1,638,487,False,validation
KC1,639,488,False,validation
KC1,640,489,False,test
KC1,641,490,False,train
KC1,642,491,False,test
KC1,643,492,False,train
KC1,644,493,False,test
KC1,645,158,False,train
KC1,646,158,False,train
KC1,647,158,False,train
KC1,648,158,False,train
KC1,649,158,False,train
KC1,650,494,False,train
KC1,651,495,False,train
KC1,652,451,False,train
KC1,653,496,False,train
KC1,654,497,False,train
KC1,655,498,False,train
KC1,656,499,False,train
KC1,657,451,False,train
KC1,658,500,False,train
KC1,659,501,False,train
KC1,660,502,False,test
KC1,661,503,False,test
KC1,662,504,False,train
KC1,663,451,False,train
KC1,664,505,False,train
KC1,665,506,False,train
KC1,666,507,False,test
KC1,667,508,False,test
KC1,668,509,False,train
KC1,669,510,False,train
KC1,670,309,False,test
KC1,671,309,False,test
KC1,672,511,False,train
KC1,673,511,False,train
KC1,674,512,False,train
KC1,675,513,False,train
KC1,676,451,False,train
KC1,677,499,False,train
KC1,678,514,False,train
KC1,679,515,False,train
KC1,680,516,False,test
KC1,681,402,False,train
KC1,682,517,False,train
KC1,683,402,False,train
KC1,684,402,False,train
KC1,685,402,False,train
KC1,686,402,False,train
KC1,687,402,False,train
KC1,688,402,False,train
KC1,689,402,False,train
KC1,690,402,False,train
KC1,691,518,False,test
KC1,692,83,False,test
KC1,693,83,False,test
KC1,694,402,False,train
KC1,695,519,False,test
KC1,696,520,False,validation
KC1,697,402,False,train
KC1,698,402,False,train
KC1,699,402,False,train
KC1,700,402,False,train
KC1,701,402,False,train
KC1,702,402,False,train
KC1,703,355,False,train
KC1,704,402,False,train
KC1,705,402,False,train
KC1,706,83,False,test
KC1,707,402,False,train
KC1,708,521,False,train
KC1,709,522,False,train
KC1,710,521,False,train
KC1,711,522,False,train
KC1,712,451,False,train
KC1,713,523,False,validation
KC1,714,498,False,train
KC1,715,524,False,train
KC1,716,525,False,train
KC1,717,526,False,train
KC1,718,417,False,train
KC1,719,527,False,train
KC1,720,528,False,train
KC1,721,522,False,train
KC1,722,529,False,validation
KC1,723,530,False,train
KC1,724,531,False,train
KC1,725,532,False,test
KC1,726,533,False,train
KC1,727,451,False,train
KC1,728,534,False,train
KC1,729,535,False,train
KC1,730,498,False,train
KC1,731,536,False,train
KC1,732,451,False,train
KC1,733,505,False,train
KC1,734,507,False,test
KC1,735,498,False,train
KC1,736,537,False,train
KC1,737,538,False,train
KC1,738,539,False,validation
KC1,739,540,False,train
KC1,740,535,False,train
KC1,741,541,False,train
KC1,742,542,False,test
KC1,743,543,False,test
KC1,744,544,False,test
KC1,745,545,False,test
KC1,746,546,False,train
KC1,747,83,False,test
KC1,748,158,False,train
KC1,749,547,False,train
KC1,750,547,False,train
KC1,751,548,False,train
KC1,752,547,False,train
KC1,753,549,False,train
KC1,754,547,False,train
KC1,755,550,False,train
KC1,756,551,False,train
KC1,757,551,False,train
KC1,758,552,False,train
KC1,759,553,False,test
KC1,760,554,False,test
KC1,761,555,False,train
KC1,762,554,False,test
KC1,763,555,False,train
KC1,764,556,False,train
KC1,765,554,False,test
KC1,766,98,False,train
KC1,767,557,False,train
KC1,768,558,False,train
KC1,769,559,False,train
KC1,770,560,False,train
KC1,771,561,False,train
KC1,772,562,False,train
KC1,773,563,False,train
KC1,774,564,False,validation
KC1,775,565,False,train
KC1,776,564,False,validation
KC1,777,566,False,validation
KC1,778,564,False,validation
KC1,779,564,False,validation
KC1,780,567,False,train
KC1,781,564,False,validation
KC1,782,568,False,train
KC1,783,569,False,train
KC1,784,570,False,train
KC1,785,143,False,validation
KC1,786,417,False,train
KC1,787,402,False,train
KC1,788,571,False,test
KC1,789,417,False,train
KC1,790,402,False,train
