dataset,row_id,feature_group_id,defects,partition
PC1,0,0,False,validation
PC1,1,1,True,validation
PC1,2,2,True,train
PC1,3,3,True,validation
PC1,4,4,True,train
PC1,5,5,True,train
PC1,6,6,True,train
PC1,7,7,True,train
PC1,8,8,True,train
PC1,9,9,True,train
PC1,10,10,True,validation
PC1,11,11,True,train
PC1,12,12,True,train
PC1,13,13,True,test
PC1,14,14,True,train
PC1,15,15,True,test
PC1,16,16,True,validation
PC1,17,17,True,test
PC1,18,18,True,train
PC1,19,19,True,train
PC1,20,20,True,validation
PC1,21,21,True,validation
PC1,22,22,True,test
PC1,23,23,True,train
PC1,24,24,True,train
PC1,25,25,True,test
PC1,26,26,True,test
PC1,27,27,True,train
PC1,28,28,True,test
PC1,29,29,True,test
PC1,30,30,True,train
PC1,31,31,True,train
PC1,32,32,True,train
PC1,33,33,True,train
PC1,34,34,True,train
PC1,35,35,True,train
PC1,36,36,True,train
PC1,37,37,True,train
PC1,38,38,True,train
PC1,39,39,True,test
PC1,40,40,True,test
PC1,41,41,True,train
PC1,42,42,True,train
PC1,43,43,True,train
PC1,44,44,True,train
PC1,45,45,True,test
PC1,46,46,True,train
PC1,47,47,True,train
PC1,48,48,True,train
PC1,49,49,True,train
PC1,50,48,True,train
PC1,51,50,True,validation
PC1,52,51,True,validation
PC1,53,52,True,train
PC1,54,53,True,train
PC1,55,54,True,train
PC1,56,55,True,train
PC1,57,56,True,train
PC1,58,57,True,train
PC1,59,58,True,test
PC1,60,59,True,train
PC1,61,60,True,train
PC1,62,61,True,validation
PC1,63,62,True,train
PC1,64,61,True,validation
PC1,65,58,True,test
PC1,66,63,True,train
PC1,67,61,True,validation
PC1,68,61,True,validation
PC1,69,64,True,test
PC1,70,65,True,test
PC1,71,66,True,test
PC1,72,67,True,validation
PC1,73,68,True,train
PC1,74,69,True,train
PC1,75,58,True,test
PC1,76,70,True,validation
PC1,77,58,True,test
PC1,78,71,False,train
PC1,79,72,False,train
PC1,80,73,False,test
PC1,81,74,False,train
PC1,82,75,False,train
PC1,83,76,False,train
PC1,84,77,False,train
PC1,85,76,False,train
PC1,86,78,False,validation
PC1,87,79,False,train
PC1,88,79,False,train
PC1,89,79,False,train
PC1,90,79,False,train
PC1,91,79,False,train
PC1,92,79,False,train
PC1,93,79,False,train
PC1,94,79,False,train
PC1,95,80,False,train
PC1,96,81,False,train
PC1,97,82,False,test
PC1,98,80,False,train
PC1,99,81,False,train
PC1,100,83,False,test
PC1,101,84,False,train
PC1,102,85,False,train
PC1,103,79,False,train
PC1,104,79,False,train
PC1,105,86,False,train
PC1,106,87,False,validation
PC1,107,88,False,train
PC1,108,89,False,test
PC1,109,79,False,train
PC1,110,90,False,test
PC1,111,76,False,train
PC1,112,91,False,train
PC1,113,92,False,train
PC1,114,93,False,train
PC1,115,94,False,train
PC1,116,95,False,train
PC1,117,79,False,train
PC1,118,96,False,test
PC1,119,97,False,train
PC1,120,98,False,train
PC1,121,99,False,train
PC1,122,100,False,train
PC1,123,101,False,test
PC1,124,102,False,train
PC1,125,100,False,train
PC1,126,101,False,test
PC1,127,103,False,test
PC1,128,79,False,train
PC1,129,79,False,train
PC1,130,104,False,test
PC1,131,105,False,train
PC1,132,79,False,train
PC1,133,106,False,train
PC1,134,107,False,train
PC1,135,108,False,train
PC1,136,109,False,test
PC1,137,110,False,train
PC1,138,111,False,train
PC1,139,112,False,train
PC1,140,113,False,train
PC1,141,79,False,train
PC1,142,79,False,train
PC1,143,79,False,train
PC1,144,114,False,train
PC1,145,79,False,train
PC1,146,79,False,train
PC1,147,79,False,train
PC1,148,79,False,train
PC1,149,79,False,train
PC1,150,115,False,train
PC1,151,116,False,test
PC1,152,117,False,train
PC1,153,115,False,train
PC1,154,118,False,train
PC1,155,102,False,train
PC1,156,119,False,train
PC1,157,120,False,train
PC1,158,79,False,train
PC1,159,79,False,train
PC1,160,79,False,train
PC1,161,121,False,test
PC1,162,122,False,train
PC1,163,79,False,train
PC1,164,123,False,validation
PC1,165,124,False,train
PC1,166,125,False,train
PC1,167,126,False,train
PC1,168,127,False,test
PC1,169,128,False,train
PC1,170,79,False,train
PC1,171,129,False,validation
PC1,172,115,False,train
PC1,173,130,False,validation
PC1,174,131,False,test
PC1,175,115,False,train
PC1,176,130,False,validation
PC1,177,117,False,train
PC1,178,79,False,train
PC1,179,79,False,train
PC1,180,132,False,train
PC1,181,133,False,test
PC1,182,134,False,train
PC1,183,135,False,train
PC1,184,136,False,train
PC1,185,137,False,train
PC1,186,138,False,train
PC1,187,139,False,train
PC1,188,140,False,test
PC1,189,141,False,validation
PC1,190,142,False,validation
PC1,191,143,False,train
PC1,192,144,False,validation
PC1,193,142,False,validation
PC1,194,143,False,train
PC1,195,145,False,train
PC1,196,146,False,train
PC1,197,147,False,train
PC1,198,87,False,validation
PC1,199,148,False,train
PC1,200,149,False,test
PC1,201,150,False,validation
PC1,202,137,False,train
PC1,203,151,False,train
PC1,204,152,False,train
PC1,205,153,False,train
PC1,206,154,False,test
PC1,207,155,False,train
PC1,208,156,False,test
PC1,209,157,False,train
PC1,210,158,False,train
PC1,211,156,False,test
PC1,212,159,False,train
PC1,213,144,False,validation
PC1,214,160,False,test
PC1,215,161,False,train
PC1,216,162,False,train
PC1,217,163,False,train
PC1,218,164,False,test
PC1,219,165,False,validation
PC1,220,166,False,train
PC1,221,167,False,test
PC1,222,168,False,test
PC1,223,169,False,train
PC1,224,170,False,train
PC1,225,171,False,test
PC1,226,172,False,train
PC1,227,173,False,train
PC1,228,174,False,test
PC1,229,175,False,test
PC1,230,176,False,train
PC1,231,177,False,train
PC1,232,175,False,test
PC1,233,176,False,train
PC1,234,158,False,train
PC1,235,178,False,validation
PC1,236,179,False,train
PC1,237,180,False,train
PC1,238,181,False,validation
PC1,239,182,False,train
PC1,240,183,False,validation
PC1,241,168,False,test
PC1,242,184,False,train
PC1,243,185,False,validation
PC1,244,186,False,train
PC1,245,187,False,train
PC1,246,188,False,train
PC1,247,189,False,train
PC1,248,190,False,test
PC1,249,115,False,train
PC1,250,191,False,train
