epoch,train_loss,validation_loss,validation_roc_auc,validation_pr_auc,learning_rate
1,0.42756385620493087,0.3733000115822115,0.7847859922178988,0.4996057510366294,0.001
2,0.36394713077231916,0.3687177923680905,0.7987548638132296,0.5042317328195483,0.001
3,0.35597531160298923,0.36141956689788773,0.8045914396887158,0.5299077529155577,0.001
4,0.35395039833375136,0.3659056269287675,0.8075486381322956,0.5421752494566028,0.001
5,0.34800283199679244,0.3584707480300133,0.8074708171206225,0.5388894058306055,0.001
6,0.3472878336906433,0.3549468267818227,0.8100778210116731,0.5366812090349425,0.001
7,0.3437871378703709,0.34964368570025656,0.8124124513618678,0.5408291279260666,0.001
8,0.34100630083223327,0.3532569439481058,0.8130739299610895,0.5405029031065147,0.001
9,0.3368372268920397,0.3569721615469805,0.8111673151750974,0.5351576025244154,0.001
10,0.33792072238713283,0.35240829245760696,0.8098832684824904,0.5187813969800362,0.001
11,0.33406398988118136,0.3488676102668144,0.8134630350194553,0.537882928581245,0.001
12,0.3332806821722184,0.35226046985640197,0.8110505836575875,0.5115345709402864,0.001
13,0.33311287160337405,0.3533812877797925,0.8098832684824903,0.5110514253448878,0.001
14,0.33393118264031235,0.3511158399259617,0.8099221789883267,0.5087048541953385,0.001
15,0.3285005844857571,0.3522988629651769,0.8105836575875486,0.5008623773215883,0.001
16,0.33091118920893564,0.3529784382603067,0.8084824902723735,0.4956565651594534,0.001
17,0.3288005040074787,0.364223428628732,0.8118677042801556,0.4956554570724627,0.0005
18,0.32617678181098325,0.3551077264382319,0.8089105058365758,0.49376078073604207,0.0005
19,0.3253765792959798,0.3538782276965508,0.8094941634241245,0.47247378879563057,0.0005
20,0.3240917325889977,0.3588399221143816,0.8091439688715953,0.49369492845972074,0.0005
21,0.3239629998694371,0.3599095788180634,0.8090661478599221,0.4766028893709837,0.0005
