epoch,train_loss,validation_loss,validation_roc_auc,validation_pr_auc,learning_rate
1,0.5061842148654019,0.32282522303319117,0.7695632393084623,0.21534513083158402,0.001
2,0.2577879078830708,0.2754630610259653,0.758189262966333,0.23722514950487958,0.001
3,0.2201174495953272,0.26843662838838256,0.7363512283894449,0.26195635911802145,0.001
4,0.2127758460403149,0.2692096797825649,0.7099636032757052,0.27539688665440193,0.001
5,0.20950345983960952,0.27300944582324976,0.6944949954504094,0.2840241209484494,0.001
6,0.20795696639453276,0.2711236218524258,0.6762966333030027,0.28961247757506225,0.001
7,0.19521581767503574,0.2739011106130324,0.668562329390355,0.27865352215727207,0.001
8,0.19555023781067776,0.27880014372412226,0.6676524112829846,0.2680709173715029,0.001
9,0.188349165868561,0.28827640736660765,0.6467242948134669,0.24683984666887404,0.0005
10,0.18541543652146147,0.2914783354979335,0.6503639672429482,0.26987431146034624,0.0005
11,0.17829802491988503,0.28705686424472177,0.6303457688808007,0.2861269094905865,0.0005
12,0.17912807627232782,0.2894489827582188,0.6280709736123748,0.2850924378602515,0.0005
13,0.18155341011335316,0.2951208854976453,0.6276160145586898,0.2868095882892732,0.0005
