epoch,train_loss,validation_loss,validation_roc_auc,validation_pr_auc,learning_rate
1,0.4181282813403593,0.40472830259092324,0.6935495472392619,0.3157604048272531,0.001
2,0.38973490548995876,0.4012895509396514,0.7048111008082611,0.3335392619382435,0.001
3,0.38749401947169065,0.40096040089108625,0.703324832179084,0.3295079850346786,0.001
4,0.38445054900378056,0.3993590735001107,0.7056453189183779,0.33966113243075413,0.001
5,0.3825135849141608,0.40171689734067,0.7059345979256348,0.34286642855130833,0.001
6,0.38251177438885453,0.3990850735744929,0.7066789049929557,0.346691231634624,0.001
7,0.38065629712460725,0.3978740631037107,0.7080408618325278,0.3479407350966919,0.001
8,0.37882083928173693,0.4120926212366313,0.703340468882179,0.347822646939843,0.001
9,0.3782706911130615,0.405885718184519,0.7057946494329349,0.35242136245425026,0.001
10,0.3773993604554682,0.39920553890265287,0.7058822149702668,0.3486409854081346,0.001
11,0.37662107941189243,0.40934306481113175,0.7066937598608958,0.3509713622250324,0.001
12,0.37619721729445693,0.39966868273743755,0.7069697476705221,0.3455352900869175,0.001
13,0.37444515364138625,0.4006737950321746,0.7051535446060411,0.3464532912994056,0.0005
14,0.3706145353739007,0.4060964723155923,0.706037018330907,0.3519776282139167,0.0005
15,0.37096329757987845,0.4013422231968135,0.7057149022471505,0.3485145178764797,0.0005
16,0.37005786225155823,0.40151930149287396,0.705147289924803,0.3448919691777349,0.0005
17,0.3700461687447536,0.40232520786594583,0.7063802439638418,0.34856990685674855,0.0005
