epoch,train_loss,validation_loss,validation_roc_auc,validation_pr_auc,learning_rate
1,0.6537516103593277,0.5177327564784459,0.571546052631579,0.14069826007326008,0.001
2,0.4572357218049491,0.37622005882717313,0.609375,0.16122362017005618,0.001
3,0.34863093278361756,0.31667499031339374,0.6241776315789473,0.20055068849849922,0.001
4,0.3059995900658728,0.30863245612099055,0.6307565789473684,0.20511941497353398,0.001
5,0.31058450327722,0.31195764598392306,0.6488486842105263,0.21128005136625827,0.001
6,0.29998392609330826,0.3140768493924822,0.6578947368421053,0.21306635424634057,0.001
7,0.29457393221099015,0.31531394663311185,0.6603618421052632,0.2745233668941205,0.001
8,0.2924954060790608,0.31426650285720825,0.660361842105263,0.2745233668941205,0.001
9,0.2901841706346154,0.31114823193777175,0.6685855263157895,0.2778746766013624,0.001
10,0.29194658637818394,0.3098862057640439,0.6800986842105263,0.21632384614220254,0.0005
11,0.285394853083447,0.30957927590324763,0.6817434210526315,0.21910162391998034,0.0005
12,0.28377121175762904,0.30944652216775076,0.6825657894736843,0.22048030039056854,0.0005
13,0.28406136012771754,0.3087108220372881,0.6850328947368421,0.22085232420009235,0.0005
14,0.280444541819466,0.30816612357185,0.6850328947368421,0.2188961981182726,0.0005
15,0.2824393754831024,0.30887866020202637,0.683388157894737,0.21873391314586105,0.0005
16,0.2773302359488404,0.30670142741430373,0.6932565789473684,0.22019675925925924,0.0005
17,0.26881271957579556,0.3079697858719599,0.6949013157894736,0.22366898148148148,0.0005
18,0.27533056955893065,0.304752026285444,0.6949013157894737,0.2228517209388205,0.0005
19,0.2796695016348632,0.3036040834018162,0.6981907894736842,0.2283041489455963,0.0005
20,0.26391967889946255,0.3053176516578311,0.6981907894736843,0.2293821528215653,0.0005
21,0.2745673507934249,0.3033074140548706,0.7031249999999999,0.23889365264365264,0.0005
22,0.2705700362770303,0.2994323656672523,0.709703947368421,0.24926274236619061,0.0005
23,0.2656993779163916,0.3015002381233942,0.709703947368421,0.24948292448292447,0.0005
24,0.2647712224895514,0.29739828336806523,0.7138157894736842,0.2431970611548076,0.0005
25,0.2729395144772761,0.30059667712166194,0.714638157894737,0.26383477633477637,0.0005
26,0.2569514420426008,0.29764255739393686,0.7310855263157895,0.27591169043374925,0.0005
27,0.2589940885895664,0.2969383412883395,0.7360197368421052,0.29993998332470817,0.0005
28,0.2628354513143644,0.2870326212474278,0.7516447368421053,0.3889561286107114,0.0005
29,0.2620096393532352,0.2857015416735694,0.7483552631578947,0.31776403743315507,0.0005
30,0.25807314301000056,0.29327078802245005,0.7475328947368421,0.3257456391647568,0.0005
31,0.2569053043825341,0.2952296577748798,0.7491776315789473,0.3264558664374841,0.0005
32,0.2553835488542384,0.2832244861693609,0.7549342105263158,0.39065888452155056,0.0005
33,0.2541452582600047,0.28098885076386587,0.7598684210526315,0.44666378648233485,0.0005
34,0.25386164875092243,0.28289230522655306,0.7639802631578947,0.4095580878589046,0.0005
35,0.2524094470689212,0.2838622558684576,0.7582236842105263,0.3965988456086175,0.0005
36,0.23971400899408704,0.281533202954701,0.7639802631578948,0.4130096643220678,0.0005
37,0.24476756922249654,0.2814128327937353,0.7623355263157895,0.41163048552754433,0.0005
38,0.24230101897492765,0.2839949883165814,0.7730263157894738,0.5107281814371367,0.0005
39,0.2415653320577924,0.27630411301340374,0.7705592105263157,0.4396345076492135,0.0005
40,0.23694722817360775,0.27165702411106657,0.7738486842105263,0.485526512434242,0.0005
41,0.2401331631303991,0.27872138080142794,0.7689144736842106,0.4441005394224049,0.0005
42,0.23378950183831373,0.28063073470478966,0.7672697368421053,0.46500233921008566,0.0005
43,0.23071619038828753,0.27992221854981925,0.7615131578947368,0.4435810857323806,0.0005
44,0.22982927230955327,0.27928324114708675,0.7631578947368421,0.4716429403929404,0.0005
45,0.23653892367403098,0.27950307443028405,0.7557565789473685,0.4278811270888736,0.0005
46,0.23229415748497428,0.281571436496008,0.7532894736842105,0.468542811500558,0.00025
47,0.21806616377097504,0.2785253624121348,0.752467105263158,0.46800938333555087,0.00025
48,0.2145037112884151,0.27880285183588666,0.7491776315789475,0.3638427166688842,0.00025
49,0.21876809381937132,0.2801530559857686,0.7541118421052632,0.4270773520773521,0.00025
50,0.21489255769256635,0.2831257468178159,0.7549342105263158,0.42781294792164354,0.00025
