epoch,train_loss,validation_loss,validation_roc_auc,validation_pr_auc,learning_rate
1,0.46468902018096636,0.30843850368993325,0.8016378525932666,0.289205063034801,0.001
2,0.24290418046993562,0.27003888825052663,0.7590991810737033,0.2626435999672151,0.001
3,0.2150545856629052,0.2667420831514381,0.7290718835304822,0.2907208519209389,0.001
4,0.20969408610190712,0.26626861027893967,0.7158780709736123,0.2985287141008333,0.001
5,0.20361560438643533,0.26585883851985487,0.6758416742493176,0.28804651443166585,0.001
6,0.20161794677087805,0.270769664375057,0.6512738853503185,0.2538020760985881,0.001
7,0.19607560578062924,0.2734408565737002,0.6389899909008191,0.2545867359262827,0.001
8,0.19443597656950726,0.27602012956525845,0.6276160145586898,0.24841492156517214,0.001
9,0.18768066572350478,0.28571793978369375,0.62852593266606,0.2557258330808073,0.001
10,0.19242004142078337,0.2845164676855879,0.5841674249317561,0.23816350638192602,0.001
11,0.18566523909238566,0.29005136894203765,0.5914467697907189,0.2635915440473478,0.0005
12,0.18079786056296648,0.29181098246304266,0.5862147406733393,0.25472413066060695,0.0005
13,0.17854382159637283,0.2910455332317373,0.5821201091901729,0.26319079865025924,0.0005
14,0.1795151432630428,0.2911493770712823,0.571656050955414,0.261756613966698,0.0005
15,0.17606136731163616,0.2959354112022801,0.5846223839854413,0.2745836717759719,0.0005
