variant,component_change,dataset,roc_auc_full,roc_auc_ablation,roc_auc_delta,roc_auc_abs_delta,roc_auc_sd_full,roc_auc_sd_ablation,pr_auc_full,pr_auc_ablation,pr_auc_delta,pr_auc_abs_delta,pr_auc_sd_full,pr_auc_sd_ablation,f1_full,f1_ablation,f1_delta,f1_abs_delta,f1_sd_full,f1_sd_ablation
A1_no_self_attention,Self-attention removed,CM1,0.798737,0.702947,-0.09579000000000004,0.09579000000000004,0.013029,0.041358,0.262808,0.213672,-0.049135999999999985,0.049135999999999985,0.013786,0.027046,0.116484,0.0,-0.116484,0.116484,0.06529,0.0
A1_no_self_attention,Self-attention removed,JM1,0.72211,0.720294,-0.0018160000000000398,0.0018160000000000398,0.002623,0.001875,0.379235,0.376977,-0.0022579999999999822,0.0022579999999999822,0.003556,0.005255,0.167726,0.159953,-0.007772999999999974,0.007772999999999974,0.03068,0.028855
A1_no_self_attention,Self-attention removed,KC1,0.761043,0.756046,-0.004997000000000029,0.004997000000000029,0.008901,0.005014,0.358578,0.356667,-0.001910999999999996,0.001910999999999996,0.002496,0.00571,0.153403,0.173982,0.020578999999999986,0.020578999999999986,0.023309,0.0274
A1_no_self_attention,Self-attention removed,KC2,0.823114,0.822793,-0.0003210000000000157,0.0003210000000000157,0.006871,0.004203,0.581355,0.584697,0.003342000000000067,0.003342000000000067,0.010451,0.005731,0.444191,0.383035,-0.06115599999999999,0.06115599999999999,0.025074,0.025452
A1_no_self_attention,Self-attention removed,PC1,0.688636,0.671324,-0.017311999999999994,0.017311999999999994,0.003494,0.023348,0.239909,0.215603,-0.024306000000000022,0.024306000000000022,0.007416,0.021215,0.021053,0.0,-0.021053,0.021053,0.047075,0.0
A2_no_semantic_tokenization,Semantic tokenization removed,CM1,0.798737,0.828632,0.029895000000000005,0.029895000000000005,0.013029,0.00963,0.262808,0.30393,0.04112199999999999,0.04112199999999999,0.013786,0.014223,0.116484,0.0,-0.116484,0.116484,0.06529,0.0
A2_no_semantic_tokenization,Semantic tokenization removed,JM1,0.72211,0.718501,-0.0036090000000000844,0.0036090000000000844,0.002623,0.002592,0.379235,0.364944,-0.014290999999999998,0.014290999999999998,0.003556,0.003811,0.167726,0.140633,-0.027092999999999978,0.027092999999999978,0.03068,0.017384
A2_no_semantic_tokenization,Semantic tokenization removed,KC1,0.761043,0.777342,0.016298999999999952,0.016298999999999952,0.008901,0.009784,0.358578,0.372446,0.013867999999999991,0.013867999999999991,0.002496,0.02078,0.153403,0.224908,0.07150499999999999,0.07150499999999999,0.023309,0.04732
A2_no_semantic_tokenization,Semantic tokenization removed,KC2,0.823114,0.827929,0.004815000000000014,0.004815000000000014,0.006871,0.010439,0.581355,0.605465,0.024110000000000076,0.024110000000000076,0.010451,0.02442,0.444191,0.446156,0.0019649999999999945,0.0019649999999999945,0.025074,0.012993
A2_no_semantic_tokenization,Semantic tokenization removed,PC1,0.688636,0.695903,0.0072670000000000234,0.0072670000000000234,0.003494,0.014172,0.239909,0.214376,-0.025533,0.025533,0.007416,0.04533,0.021053,0.0,-0.021053,0.021053,0.047075,0.0
A3_single_head_attention,Four heads changed to one head,CM1,0.798737,0.779158,-0.019579000000000013,0.019579000000000013,0.013029,0.015779,0.262808,0.253821,-0.008986999999999967,0.008986999999999967,0.013786,0.022982,0.116484,0.110769,-0.005714999999999998,0.005714999999999998,0.06529,0.113146
A3_single_head_attention,Four heads changed to one head,JM1,0.72211,0.722046,-6.4000000000064e-05,6.4000000000064e-05,0.002623,0.00365,0.379235,0.378616,-0.0006189999999999807,0.0006189999999999807,0.003556,0.005464,0.167726,0.172482,0.00475600000000001,0.00475600000000001,0.03068,0.033852
A3_single_head_attention,Four heads changed to one head,KC1,0.761043,0.755715,-0.005327999999999999,0.005327999999999999,0.008901,0.009728,0.358578,0.351344,-0.007234000000000018,0.007234000000000018,0.002496,0.014742,0.153403,0.164478,0.011075000000000002,0.011075000000000002,0.023309,0.012308
A3_single_head_attention,Four heads changed to one head,KC2,0.823114,0.816105,-0.007009000000000043,0.007009000000000043,0.006871,0.008564,0.581355,0.579213,-0.0021419999999999773,0.0021419999999999773,0.010451,0.011187,0.444191,0.377929,-0.06626199999999999,0.06626199999999999,0.025074,0.04425
A3_single_head_attention,Four heads changed to one head,PC1,0.688636,0.686504,-0.0021320000000000228,0.0021320000000000228,0.003494,0.007837,0.239909,0.243499,0.003589999999999982,0.003589999999999982,0.007416,0.016828,0.021053,0.0,-0.021053,0.021053,0.047075,0.0
