dataset,metric_label,ablation_label,reference_mean,ablation_mean,mean_difference_ablation_minus_reference,ci95,paired_cohens_d,paired_rank_biserial,wilcoxon_p_value,wilcoxon_p_holm_by_metric,exact_sign_flip_p_value,sign_flip_p_holm_by_metric,observed_direction
CM1,F1,A1 No Self-Attention,0.116484,0.000000,-0.116484,"[-0.197552, -0.035415]",-1.784097,-1.000000,0.125000,1.000000,0.125000,1.000000,ablation_lower
CM1,F1,A2 No Semantic Tokenization,0.116484,0.000000,-0.116484,"[-0.197552, -0.035415]",-1.784097,-1.000000,0.125000,1.000000,0.125000,1.000000,ablation_lower
CM1,F1,A3 Single-Head Attention,0.116484,0.110769,-0.005714,"[-0.128390, 0.116962]",-0.057837,0.000000,1.000000,1.000000,0.875000,1.000000,ablation_lower
CM1,PR-AUC,A1 No Self-Attention,0.262808,0.213672,-0.049135,"[-0.095831, -0.002440]",-1.306551,-0.866667,0.125000,1.000000,0.125000,1.000000,ablation_lower
CM1,PR-AUC,A2 No Semantic Tokenization,0.262808,0.303930,0.041122,"[0.028703, 0.053542]",4.111202,1.000000,0.062500,0.937500,0.062500,0.937500,ablation_higher
CM1,PR-AUC,A3 Single-Head Attention,0.262808,0.253821,-0.008987,"[-0.031733, 0.013759]",-0.490587,-0.600000,0.312500,1.000000,0.312500,1.000000,ablation_lower
CM1,ROC-AUC,A1 No Self-Attention,0.798737,0.702947,-0.095789,"[-0.158553, -0.033026]",-1.895011,-1.000000,0.062500,0.937500,0.062500,0.937500,ablation_lower
CM1,ROC-AUC,A2 No Semantic Tokenization,0.798737,0.828632,0.029895,"[0.003974, 0.055815]",1.432044,0.866667,0.125000,1.000000,0.125000,1.000000,ablation_higher
CM1,ROC-AUC,A3 Single-Head Attention,0.798737,0.779158,-0.019579,"[-0.029895, -0.009263]",-2.356508,-1.000000,0.062500,0.937500,0.062500,0.937500,ablation_lower
JM1,F1,A1 No Self-Attention,0.167726,0.159953,-0.007773,"[-0.076200, 0.060653]",-0.141055,-0.200000,0.812500,1.000000,0.750000,1.000000,ablation_lower
JM1,F1,A2 No Semantic Tokenization,0.167726,0.140633,-0.027093,"[-0.073063, 0.018878]",-0.731771,-0.600000,0.312500,1.000000,0.250000,1.000000,ablation_lower
JM1,F1,A3 Single-Head Attention,0.167726,0.172482,0.004756,"[-0.026517, 0.036029]",0.188830,0.200000,0.812500,1.000000,0.750000,1.000000,ablation_higher
JM1,PR-AUC,A1 No Self-Attention,0.379235,0.376977,-0.002258,"[-0.009901, 0.005384]",-0.366918,-0.466667,0.437500,1.000000,0.500000,1.000000,ablation_lower
JM1,PR-AUC,A2 No Semantic Tokenization,0.379235,0.364944,-0.014292,"[-0.019375, -0.009209]",-3.490999,-1.000000,0.062500,0.937500,0.062500,0.937500,ablation_lower
JM1,PR-AUC,A3 Single-Head Attention,0.379235,0.378616,-0.000620,"[-0.010208, 0.008969]",-0.080234,-0.066667,1.000000,1.000000,0.875000,1.000000,ablation_lower
JM1,ROC-AUC,A1 No Self-Attention,0.722110,0.720294,-0.001816,"[-0.006024, 0.002392]",-0.535909,-0.466667,0.437500,1.000000,0.375000,1.000000,ablation_lower
JM1,ROC-AUC,A2 No Semantic Tokenization,0.722110,0.718501,-0.003609,"[-0.007069, -0.000149]",-1.295177,-1.000000,0.062500,0.937500,0.062500,0.937500,ablation_lower
JM1,ROC-AUC,A3 Single-Head Attention,0.722110,0.722046,-0.000064,"[-0.002604, 0.002475]",-0.031494,0.066667,1.000000,1.000000,1.000000,1.000000,ablation_lower
KC1,F1,A1 No Self-Attention,0.153403,0.173982,0.020579,"[0.002791, 0.038366]",1.436494,0.866667,0.125000,1.000000,0.125000,1.000000,ablation_higher
KC1,F1,A2 No Semantic Tokenization,0.153403,0.224908,0.071505,"[0.031642, 0.111369]",2.227241,1.000000,0.062500,0.937500,0.062500,0.937500,ablation_higher
KC1,F1,A3 Single-Head Attention,0.153403,0.164478,0.011075,"[-0.014330, 0.036480]",0.541290,0.466667,0.437500,1.000000,0.312500,1.000000,ablation_higher
KC1,PR-AUC,A1 No Self-Attention,0.358578,0.356667,-0.001910,"[-0.008761, 0.004940]",-0.346280,-0.333333,0.625000,1.000000,0.500000,1.000000,ablation_lower
KC1,PR-AUC,A2 No Semantic Tokenization,0.358578,0.372446,0.013868,"[-0.009860, 0.037597]",0.725713,1.000000,0.062500,0.937500,0.062500,0.937500,ablation_higher
KC1,PR-AUC,A3 Single-Head Attention,0.358578,0.351344,-0.007233,"[-0.026135, 0.011669]",-0.475135,-0.466667,0.437500,1.000000,0.375000,1.000000,ablation_lower
KC1,ROC-AUC,A1 No Self-Attention,0.761043,0.756046,-0.004997,"[-0.021077, 0.011083]",-0.385856,-0.466667,0.437500,1.000000,0.437500,1.000000,ablation_lower
KC1,ROC-AUC,A2 No Semantic Tokenization,0.761043,0.777342,0.016299,"[0.002063, 0.030535]",1.421633,1.000000,0.062500,0.937500,0.062500,0.937500,ablation_higher
KC1,ROC-AUC,A3 Single-Head Attention,0.761043,0.755715,-0.005328,"[-0.018184, 0.007528]",-0.514606,-0.600000,0.312500,1.000000,0.312500,1.000000,ablation_lower
KC2,F1,A1 No Self-Attention,0.444191,0.383035,-0.061156,"[-0.111339, -0.010972]",-1.513146,-1.000000,0.062500,0.937500,0.062500,0.937500,ablation_lower
KC2,F1,A2 No Semantic Tokenization,0.444191,0.446156,0.001965,"[-0.023401, 0.027332]",0.096196,0.000000,1.000000,1.000000,1.000000,1.000000,ablation_higher
KC2,F1,A3 Single-Head Attention,0.444191,0.377929,-0.066262,"[-0.148945, 0.016420]",-0.995075,-0.733333,0.187500,1.000000,0.187500,1.000000,ablation_lower
KC2,PR-AUC,A1 No Self-Attention,0.581355,0.584697,0.003342,"[-0.007617, 0.014302]",0.378668,0.333333,0.625000,1.000000,0.562500,1.000000,ablation_higher
KC2,PR-AUC,A2 No Semantic Tokenization,0.581355,0.605465,0.024110,"[-0.003381, 0.051600]",1.088973,0.866667,0.125000,1.000000,0.125000,1.000000,ablation_higher
KC2,PR-AUC,A3 Single-Head Attention,0.581355,0.579213,-0.002142,"[-0.011646, 0.007361]",-0.279909,-0.466667,0.437500,1.000000,0.500000,1.000000,ablation_lower
KC2,ROC-AUC,A1 No Self-Attention,0.823114,0.822793,-0.000321,"[-0.009133, 0.008491]",-0.045236,-0.066667,1.000000,1.000000,0.937500,1.000000,ablation_lower
KC2,ROC-AUC,A2 No Semantic Tokenization,0.823114,0.827929,0.004815,"[-0.004357, 0.013988]",0.651857,0.800000,0.250000,1.000000,0.250000,1.000000,ablation_higher
KC2,ROC-AUC,A3 Single-Head Attention,0.823114,0.816105,-0.007009,"[-0.022906, 0.008887]",-0.547475,-0.600000,0.312500,1.000000,0.250000,1.000000,ablation_lower
PC1,F1,A1 No Self-Attention,0.021053,0.000000,-0.021053,"[-0.079504, 0.037399]",-0.447214,-1.000000,1.000000,1.000000,1.000000,1.000000,ablation_lower
PC1,F1,A2 No Semantic Tokenization,0.021053,0.000000,-0.021053,"[-0.079504, 0.037399]",-0.447214,-1.000000,1.000000,1.000000,1.000000,1.000000,ablation_lower
PC1,F1,A3 Single-Head Attention,0.021053,0.000000,-0.021053,"[-0.079504, 0.037399]",-0.447214,-1.000000,1.000000,1.000000,1.000000,1.000000,ablation_lower
PC1,PR-AUC,A1 No Self-Attention,0.239909,0.215603,-0.024306,"[-0.050249, 0.001638]",-1.163273,-1.000000,0.062500,0.937500,0.062500,0.937500,ablation_lower
PC1,PR-AUC,A2 No Semantic Tokenization,0.239909,0.214376,-0.025533,"[-0.074895, 0.023830]",-0.642252,-0.600000,0.312500,1.000000,0.312500,1.000000,ablation_lower
PC1,PR-AUC,A3 Single-Head Attention,0.239909,0.243499,0.003590,"[-0.019461, 0.026640]",0.193380,0.200000,0.812500,1.000000,0.687500,1.000000,ablation_higher
PC1,ROC-AUC,A1 No Self-Attention,0.688636,0.671324,-0.017312,"[-0.048636, 0.014012]",-0.686230,-0.600000,0.312500,1.000000,0.250000,1.000000,ablation_lower
PC1,ROC-AUC,A2 No Semantic Tokenization,0.688636,0.695903,0.007267,"[-0.014274, 0.028808]",0.418892,0.333333,0.625000,1.000000,0.562500,1.000000,ablation_higher
PC1,ROC-AUC,A3 Single-Head Attention,0.688636,0.686504,-0.002132,"[-0.012449, 0.008184]",-0.256663,-0.066667,1.000000,1.000000,0.750000,1.000000,ablation_lower
