variant,dataset,roc_auc_mean,roc_auc_sd,pr_auc_mean,pr_auc_sd,accuracy_mean,accuracy_sd,precision_mean,precision_sd,recall_mean,recall_sd,f1_mean,f1_sd
A0_full_hybrid_attention,CM1,0.798737,0.013029,0.262808,0.013786,0.889524,0.005216,0.216667,0.126381,0.080000,0.044721,0.116484,0.065290
A0_full_hybrid_attention,JM1,0.722110,0.002623,0.379235,0.003556,0.841141,0.001234,0.659125,0.029836,0.096667,0.020385,0.167726,0.030680
A0_full_hybrid_attention,KC1,0.761043,0.008901,0.358578,0.002496,0.837037,0.002639,0.394734,0.036265,0.095522,0.017018,0.153403,0.023309
A0_full_hybrid_attention,KC2,0.823114,0.006871,0.581355,0.010451,0.840000,0.016514,0.675470,0.110449,0.333333,0.000000,0.444191,0.025074
A0_full_hybrid_attention,PC1,0.688636,0.003494,0.239909,0.007416,0.917593,0.002070,0.200000,0.447214,0.011111,0.024845,0.021053,0.047075
A1_no_self_attention,CM1,0.702947,0.041358,0.213672,0.027046,0.904762,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
A1_no_self_attention,JM1,0.720294,0.001875,0.376977,0.005255,0.840190,0.000517,0.645837,0.036582,0.091905,0.019533,0.159953,0.028855
A1_no_self_attention,KC1,0.756046,0.005014,0.356667,0.005710,0.837963,0.001637,0.413421,0.027887,0.110448,0.020024,0.173982,0.027400
A1_no_self_attention,KC2,0.822793,0.004203,0.584697,0.005731,0.836364,0.006428,0.689048,0.057921,0.266667,0.026082,0.383035,0.025452
A1_no_self_attention,PC1,0.671324,0.023348,0.215603,0.021215,0.916667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
A2_no_semantic_tokenization,CM1,0.828632,0.009630,0.303930,0.014223,0.900952,0.008518,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
A2_no_semantic_tokenization,JM1,0.718501,0.002592,0.364944,0.003811,0.838446,0.001472,0.613358,0.029135,0.079524,0.010859,0.140633,0.017384
A2_no_semantic_tokenization,KC1,0.777342,0.009784,0.372446,0.020780,0.844907,0.004331,0.495626,0.042671,0.146269,0.037164,0.224908,0.047320
A2_no_semantic_tokenization,KC2,0.827929,0.010439,0.605465,0.024420,0.841818,0.008131,0.677374,0.062527,0.333333,0.000000,0.446156,0.012993
A2_no_semantic_tokenization,PC1,0.695903,0.014172,0.214376,0.045330,0.916667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
A3_single_head_attention,CM1,0.779158,0.015779,0.253821,0.022982,0.885714,0.009524,0.186667,0.184992,0.080000,0.083666,0.110769,0.113146
A3_single_head_attention,JM1,0.722046,0.003650,0.378616,0.005464,0.839715,0.002109,0.616153,0.036366,0.100952,0.022119,0.172482,0.033852
A3_single_head_attention,KC1,0.755715,0.009728,0.351344,0.014742,0.835648,0.004630,0.393277,0.037664,0.104478,0.010554,0.164478,0.012308
A3_single_head_attention,KC2,0.816105,0.008564,0.579213,0.011187,0.829091,0.014938,0.679221,0.197471,0.276190,0.062088,0.377929,0.044250
A3_single_head_attention,PC1,0.686504,0.007837,0.243499,0.016828,0.916667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
