variant,dataset,roc_auc_mean,roc_auc_sd,roc_auc_cv_percent,pr_auc_mean,pr_auc_sd,pr_auc_cv_percent,f1_mean,f1_sd,f1_cv_percent
A0_full_hybrid_attention,CM1,0.798737,0.013029,1.6312002574063802,0.262808,0.013786,5.245654622385924,0.116484,0.06529,56.050616393667795
A0_full_hybrid_attention,JM1,0.72211,0.002623,0.36324105745662016,0.379235,0.003556,0.9376771658734031,0.167726,0.03068,18.291737715082935
A0_full_hybrid_attention,KC1,0.761043,0.008901,1.1695791170801122,0.358578,0.002496,0.696082860632833,0.153403,0.023309,15.194618097429643
A0_full_hybrid_attention,KC2,0.823114,0.006871,0.8347567894605121,0.581355,0.010451,1.7976967601551548,0.444191,0.025074,5.644868986539573
A0_full_hybrid_attention,PC1,0.688636,0.003494,0.5073798058771252,0.239909,0.007416,3.091172069409651,0.021053,0.047075,223.60233695910324
A1_no_self_attention,CM1,0.702947,0.041358,5.8835161114564825,0.213672,0.027046,12.657718372084318,0.0,0.0,
A1_no_self_attention,JM1,0.720294,0.001875,0.26031037326425044,0.376977,0.005255,1.3939842483758955,0.159953,0.028855,18.039674154282817
A1_no_self_attention,KC1,0.756046,0.005014,0.663187160569595,0.356667,0.00571,1.6009330832401092,0.173982,0.0274,15.748755618397306
A1_no_self_attention,KC2,0.822793,0.004203,0.5108210692118188,0.584697,0.005731,0.9801657952751597,0.383035,0.025452,6.644823580090592
A1_no_self_attention,PC1,0.671324,0.023348,3.477903367077596,0.215603,0.021215,9.839844529064996,0.0,0.0,
A2_no_semantic_tokenization,CM1,0.828632,0.00963,1.1621564216684848,0.30393,0.014223,4.679695982627579,0.0,0.0,
A2_no_semantic_tokenization,JM1,0.718501,0.002592,0.36075106367284115,0.364944,0.003811,1.0442698057784208,0.140633,0.017384,12.361252337644792
A2_no_semantic_tokenization,KC1,0.777342,0.009784,1.2586480596700036,0.372446,0.02078,5.579332305891324,0.224908,0.04732,21.039714016397816
A2_no_semantic_tokenization,KC2,0.827929,0.010439,1.2608569092277235,0.605465,0.02442,4.033263689891241,0.446156,0.012993,2.9122100789858254
A2_no_semantic_tokenization,PC1,0.695903,0.014172,2.0364907178155573,0.214376,0.04533,21.14509086838079,0.0,0.0,
A3_single_head_attention,CM1,0.779158,0.015779,2.02513482502907,0.253821,0.022982,9.054412361467332,0.110769,0.113146,102.14590724841787
A3_single_head_attention,JM1,0.722046,0.00365,0.5055079593266911,0.378616,0.005464,1.443150844127031,0.172482,0.033852,19.626395797822383
A3_single_head_attention,KC1,0.755715,0.009728,1.2872577625162926,0.351344,0.014742,4.19588779088301,0.164478,0.012308,7.483067644305012
A3_single_head_attention,KC2,0.816105,0.008564,1.0493747740793158,0.579213,0.011187,1.931413832217164,0.377929,0.04425,11.70854843105451
A3_single_head_attention,PC1,0.686504,0.007837,1.1415811124188644,0.243499,0.016828,6.910911338444922,0.0,0.0,
