dataset,reference_variant,ablation_variant,ablation_description,metric,analysis_group,n_pairs,reference_mean,ablation_mean,mean_difference_ablation_minus_reference,sd_paired_difference,ci95_lower,ci95_upper,paired_cohens_d,paired_rank_biserial,wilcoxon_statistic,wilcoxon_p_value,wilcoxon_p_holm_by_metric,exact_sign_flip_p_value,sign_flip_p_holm_by_metric,observed_direction
CM1,A0_full_hybrid_attention,A1_no_self_attention,Self-attention removed,accuracy,supplementary,5,0.8895238095238096,0.9047619047619048,0.01523809523809525,0.005216405309573053,0.008761072565159417,0.021715117911031083,2.9211869733608644,1.0,0.0,0.0625,0.9375,0.0625,0.9375,ablation_higher
CM1,A0_full_hybrid_attention,A2_no_semantic_tokenization,Semantic feature-group tokenization removed,accuracy,supplementary,5,0.8895238095238096,0.900952380952381,0.011428571428571432,0.01241752839086224,-0.003989826521035361,0.026846969378178223,0.9203579866168409,0.7333333333333333,2.0,0.1875,1.0,0.1875,1.0,ablation_higher
CM1,A0_full_hybrid_attention,A3_single_head_attention,Four attention heads changed to one head,accuracy,supplementary,5,0.8895238095238096,0.8857142857142858,-0.003809523809523796,0.012777531299998857,-0.01967492441065415,0.012055876791606556,-0.29814239699996953,-0.2,6.0,0.8125,1.0,0.75,1.0,ablation_lower
JM1,A0_full_hybrid_attention,A1_no_self_attention,Self-attention removed,accuracy,supplementary,5,0.8411414982164092,0.8401902497027349,-0.0009512485136742077,0.0016002084215763982,-0.002938169700368097,0.0010356726730196813,-0.5944528855416928,-0.5333333333333333,3.5,0.4375,1.0,0.375,1.0,ablation_lower
JM1,A0_full_hybrid_attention,A2_no_semantic_tokenization,Semantic feature-group tokenization removed,accuracy,supplementary,5,0.8411414982164092,0.838446294094332,-0.0026952041220768886,0.0012344361079981955,-0.004227958995461025,-0.0011624492486927529,-2.183348416831006,-1.0,0.0,0.0625,0.9375,0.0625,0.9375,ablation_lower
JM1,A0_full_hybrid_attention,A3_single_head_attention,Four attention heads changed to one head,accuracy,supplementary,5,0.8411414982164092,0.8397146254458978,-0.0014268727705113228,0.001993622883861938,-0.00390228253139786,0.0010485369903752146,-0.7157184952388098,-0.7333333333333333,2.0,0.1875,1.0,0.1875,1.0,ablation_lower
KC1,A0_full_hybrid_attention,A1_no_self_attention,Self-attention removed,accuracy,supplementary,5,0.837037037037037,0.837962962962963,0.0009259259259259079,0.0035105904833571855,-0.0034330478896954686,0.0052848997415472845,0.2637521893583107,0.4,3.0,0.625,1.0,0.75,1.0,ablation_higher
KC1,A0_full_hybrid_attention,A2_no_semantic_tokenization,Semantic feature-group tokenization removed,accuracy,supplementary,5,0.837037037037037,0.8449074074074074,0.007870370370370394,0.004800102165122154,0.0019102563242382638,0.013830484416502524,1.6396255953794072,1.0,0.0,0.0625,0.9375,0.0625,0.9375,ablation_higher
KC1,A0_full_hybrid_attention,A3_single_head_attention,Four attention heads changed to one head,accuracy,supplementary,5,0.837037037037037,0.8356481481481481,-0.001388888888888884,0.005329103904269111,-0.00800584534950697,0.0052280675717292025,-0.260623345657842,-0.3,3.5,0.875,1.0,0.75,1.0,ablation_lower
KC2,A0_full_hybrid_attention,A1_no_self_attention,Self-attention removed,accuracy,supplementary,5,0.8399999999999999,0.8363636363636363,-0.0036363636363636598,0.01378704626191187,-0.020755242621349444,0.013482515348622125,-0.2637521893583173,-0.4,3.0,0.625,1.0,0.5,1.0,ablation_lower
KC2,A0_full_hybrid_attention,A2_no_semantic_tokenization,Semantic feature-group tokenization removed,accuracy,supplementary,5,0.8399999999999999,0.8418181818181818,0.0018181818181817854,0.013483997249264804,-0.01492441211810894,0.01856077575447251,0.13483997249264637,0.0,3.0,1.0,1.0,1.0,1.0,ablation_higher
KC2,A0_full_hybrid_attention,A3_single_head_attention,Four attention heads changed to one head,accuracy,supplementary,5,0.8399999999999999,0.8290909090909091,-0.010909090909090913,0.01348399724926481,-0.027651684845381646,0.005833503027199819,-0.8090398349558927,-0.8,1.5,0.1875,1.0,0.1875,1.0,ablation_lower
PC1,A0_full_hybrid_attention,A1_no_self_attention,Self-attention removed,accuracy,supplementary,5,0.9175925925925925,0.9166666666666666,-0.0009259259259259522,0.002070433312499864,-0.0034967084307388017,0.0016448565788868975,-0.4472135954999579,-1.0,0.0,1.0,1.0,1.0,1.0,ablation_lower
PC1,A0_full_hybrid_attention,A2_no_semantic_tokenization,Semantic feature-group tokenization removed,accuracy,supplementary,5,0.9175925925925925,0.9166666666666666,-0.0009259259259259522,0.002070433312499864,-0.0034967084307388017,0.0016448565788868975,-0.4472135954999579,-1.0,0.0,1.0,1.0,1.0,1.0,ablation_lower
PC1,A0_full_hybrid_attention,A3_single_head_attention,Four attention heads changed to one head,accuracy,supplementary,5,0.9175925925925925,0.9166666666666666,-0.0009259259259259522,0.002070433312499864,-0.0034967084307388017,0.0016448565788868975,-0.4472135954999579,-1.0,0.0,1.0,1.0,1.0,1.0,ablation_lower
CM1,A0_full_hybrid_attention,A1_no_self_attention,Self-attention removed,f1,primary,5,0.11648351648351643,0.0,-0.11648351648351643,0.06528989352752941,-0.1975516267232068,-0.03541540624382604,-1.7840972038712437,-1.0,0.0,0.125,1.0,0.125,1.0,ablation_lower
CM1,A0_full_hybrid_attention,A2_no_semantic_tokenization,Semantic feature-group tokenization removed,f1,primary,5,0.11648351648351643,0.0,-0.11648351648351643,0.06528989352752941,-0.1975516267232068,-0.03541540624382604,-1.7840972038712437,-1.0,0.0,0.125,1.0,0.125,1.0,ablation_lower
CM1,A0_full_hybrid_attention,A3_single_head_attention,Four attention heads changed to one head,f1,primary,5,0.11648351648351643,0.11076923076923073,-0.005714285714285694,0.09879983962972236,-0.1283904896108177,0.1169619181822463,-0.057836993822069346,0.0,5.0,1.0,1.0,0.875,1.0,ablation_lower
JM1,A0_full_hybrid_attention,A1_no_self_attention,Self-attention removed,f1,primary,5,0.1677261478437791,0.1599527992048979,-0.007773348638881156,0.05510869418868364,-0.07619983020099075,0.06065313292322844,-0.14105485084198172,-0.2,6.0,0.8125,1.0,0.75,1.0,ablation_lower
JM1,A0_full_hybrid_attention,A2_no_semantic_tokenization,Semantic feature-group tokenization removed,f1,primary,5,0.1677261478437791,0.14063348590604946,-0.02709266193772964,0.037023405247856876,-0.07306329132490191,0.01887796744944263,-0.7317712067908155,-0.6,3.0,0.3125,1.0,0.25,1.0,ablation_lower
JM1,A0_full_hybrid_attention,A3_single_head_attention,Four attention heads changed to one head,f1,primary,5,0.1677261478437791,0.17248209692342314,0.004755949079644067,0.02518634382465532,-0.0265170272938122,0.03602892545310033,0.1888304675245635,0.2,6.0,0.8125,1.0,0.75,1.0,ablation_higher
KC1,A0_full_hybrid_attention,A1_no_self_attention,Self-attention removed,f1,primary,5,0.1534031087437311,0.17398187032951953,0.02057876158578847,0.014325687555406927,0.0027910710987239656,0.038366452072852976,1.4364938161743903,0.8666666666666667,1.0,0.125,1.0,0.125,1.0,ablation_higher
KC1,A0_full_hybrid_attention,A2_no_semantic_tokenization,Semantic feature-group tokenization removed,f1,primary,5,0.1534031087437311,0.2249083175189225,0.0715052087751914,0.032104838897166636,0.03164178614844767,0.11136863140193512,2.2272408531382473,1.0,0.0,0.0625,0.9375,0.0625,0.9375,ablation_higher
KC1,A0_full_hybrid_attention,A3_single_head_attention,Four attention heads changed to one head,f1,primary,5,0.1534031087437311,0.16447811447811442,0.01107500573438334,0.020460378905590815,-0.01432991014229656,0.03647992161106324,0.5412903536872958,0.4666666666666667,4.0,0.4375,1.0,0.3125,1.0,ablation_higher
KC2,A0_full_hybrid_attention,A1_no_self_attention,Self-attention removed,f1,primary,5,0.44419067333678336,0.38303511838550774,-0.061155554951275636,0.04041616713021776,-0.11133885462225347,-0.010972255280297799,-1.5131458347902504,-1.0,0.0,0.0625,0.9375,0.0625,0.9375,ablation_lower
KC2,A0_full_hybrid_attention,A2_no_semantic_tokenization,Semantic feature-group tokenization removed,f1,primary,5,0.44419067333678336,0.4461559139784946,0.0019652406417112077,0.020429465661361165,-0.02340129137254105,0.02733177265596347,0.0961963799879565,0.0,3.0,1.0,1.0,1.0,1.0,ablation_higher
KC2,A0_full_hybrid_attention,A3_single_head_attention,Four attention heads changed to one head,f1,primary,5,0.44419067333678336,0.37792857142857145,-0.06626210190821194,0.06659007767190318,-0.14894460399100662,0.016420400174582725,-0.9950747051939597,-0.7333333333333333,2.0,0.1875,1.0,0.1875,1.0,ablation_lower
PC1,A0_full_hybrid_attention,A1_no_self_attention,Self-attention removed,f1,primary,5,0.021052631578947358,0.0,-0.021052631578947358,0.047075115315785024,-0.07950410747784836,0.03739884431995364,-0.4472135954999579,-1.0,0.0,1.0,1.0,1.0,1.0,ablation_lower
PC1,A0_full_hybrid_attention,A2_no_semantic_tokenization,Semantic feature-group tokenization removed,f1,primary,5,0.021052631578947358,0.0,-0.021052631578947358,0.047075115315785024,-0.07950410747784836,0.03739884431995364,-0.4472135954999579,-1.0,0.0,1.0,1.0,1.0,1.0,ablation_lower
PC1,A0_full_hybrid_attention,A3_single_head_attention,Four attention heads changed to one head,f1,primary,5,0.021052631578947358,0.0,-0.021052631578947358,0.047075115315785024,-0.07950410747784836,0.03739884431995364,-0.4472135954999579,-1.0,0.0,1.0,1.0,1.0,1.0,ablation_lower
CM1,A0_full_hybrid_attention,A1_no_self_attention,Self-attention removed,pr_auc,primary,5,0.26280793392223106,0.21367244726547607,-0.04913548665675503,0.037607032119391766,-0.09583078451869648,-0.002440188794813586,-1.3065505010010803,-0.8666666666666667,1.0,0.125,1.0,0.125,1.0,ablation_lower
CM1,A0_full_hybrid_attention,A2_no_semantic_tokenization,Semantic feature-group tokenization removed,pr_auc,primary,5,0.26280793392223106,0.30393031083085764,0.04112237690862652,0.01000251821602915,0.028702610148405763,0.053542143668847283,4.111202401284054,1.0,0.0,0.0625,0.9375,0.0625,0.9375,ablation_higher
CM1,A0_full_hybrid_attention,A3_single_head_attention,Four attention heads changed to one head,pr_auc,primary,5,0.26280793392223106,0.25382092137955115,-0.008987012542679923,0.01831888216012969,-0.0317329090082502,0.013758883922890356,-0.4905873875994352,-0.6,3.0,0.3125,1.0,0.3125,1.0,ablation_lower
JM1,A0_full_hybrid_attention,A1_no_self_attention,Self-attention removed,pr_auc,primary,5,0.3792354380074763,0.37697699384058964,-0.002258444166886653,0.00615517868559553,-0.009901107943301802,0.005384219609528496,-0.3669177260721786,-0.4666666666666667,4.0,0.4375,1.0,0.5,1.0,ablation_lower
JM1,A0_full_hybrid_attention,A2_no_semantic_tokenization,Semantic feature-group tokenization removed,pr_auc,primary,5,0.3792354380074763,0.36494364948184266,-0.014291788525633587,0.004093896857398541,-0.01937503286582489,-0.00920854418544228,-3.4909986800974946,-1.0,0.0,0.0625,0.9375,0.0625,0.9375,ablation_lower
JM1,A0_full_hybrid_attention,A3_single_head_attention,Four attention heads changed to one head,pr_auc,primary,5,0.3792354380074763,0.3786158565606727,-0.0006195814468035298,0.007722196133953651,-0.010207954373402089,0.00896879147979503,-0.08023383970776111,-0.06666666666666667,7.0,1.0,1.0,0.875,1.0,ablation_lower
KC1,A0_full_hybrid_attention,A1_no_self_attention,Self-attention removed,pr_auc,primary,5,0.35857753752154486,0.35666705157302586,-0.0019104859485189695,0.005517177138354764,-0.008760966172926961,0.004939994275889021,-0.3462796101356791,-0.3333333333333333,5.0,0.625,1.0,0.5,1.0,ablation_lower
