dataset,model,training_seed,split_seed,threshold,train_samples,validation_samples,test_samples,train_positive,validation_positive,test_positive,validation_roc_auc,validation_pr_auc,validation_accuracy,validation_balanced_accuracy,validation_precision,validation_recall,validation_f1,validation_youden_j,validation_tn,validation_fp,validation_fn,validation_tp,test_roc_auc,test_pr_auc,test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_f1,test_youden_j,test_tn,test_fp,test_fn,test_tp,mlp_iterations,mlp_final_loss
CM1,logistic_regression,42,42,0.5,309,84,105,31,8,10,0.658717105263158,0.24217908317173026,0.9047619047619048,0.5,0.0,0.0,0.0,0.0,76,0,8,0,0.8536842105263158,0.36075206768399676,0.8952380952380953,0.5394736842105263,0.3333333333333333,0.1,0.15384615384615385,0.07894736842105265,93,2,9,1,,
CM1,random_forest,42,42,0.5,309,84,105,31,8,10,0.71875,0.2774922789628672,0.9047619047619048,0.5,0.0,0.0,0.0,0.0,76,0,8,0,0.8242105263157895,0.32175558428499607,0.8857142857142857,0.48947368421052634,0.0,0.0,0.0,-0.021052631578947323,93,2,10,0,,
CM1,mlp,42,42,0.5,309,84,105,31,8,10,0.6266447368421053,0.2977990344929082,0.9047619047619048,0.5,0.0,0.0,0.0,0.0,76,0,8,0,0.8631578947368421,0.32172525023995613,0.8952380952380953,0.5394736842105263,0.3333333333333333,0.1,0.15384615384615385,0.07894736842105265,93,2,9,1,50.0,0.1693807414167417
CM1,logistic_regression,43,42,0.5,309,84,105,31,8,10,0.658717105263158,0.24217908317173026,0.9047619047619048,0.5,0.0,0.0,0.0,0.0,76,0,8,0,0.8536842105263158,0.36075206768399676,0.8952380952380953,0.5394736842105263,0.3333333333333333,0.1,0.15384615384615385,0.07894736842105265,93,2,9,1,,
CM1,random_forest,43,42,0.5,309,84,105,31,8,10,0.6981907894736842,0.27530608326561956,0.9047619047619048,0.5,0.0,0.0,0.0,0.0,76,0,8,0,0.8021052631578947,0.30976197699223285,0.8952380952380953,0.5394736842105263,0.3333333333333333,0.1,0.15384615384615385,0.07894736842105265,93,2,9,1,,
CM1,mlp,43,42,0.5,309,84,105,31,8,10,0.6562499999999999,0.25165356111096476,0.8928571428571429,0.4934210526315789,0.0,0.0,0.0,-0.013157894736842146,75,1,8,0,0.8768421052631579,0.34044156030562617,0.8857142857142857,0.48947368421052634,0.0,0.0,0.0,-0.021052631578947323,93,2,10,0,50.0,0.18769427562453614
CM1,logistic_regression,44,42,0.5,309,84,105,31,8,10,0.658717105263158,0.24217908317173026,0.9047619047619048,0.5,0.0,0.0,0.0,0.0,76,0,8,0,0.8536842105263158,0.36075206768399676,0.8952380952380953,0.5394736842105263,0.3333333333333333,0.1,0.15384615384615385,0.07894736842105265,93,2,9,1,,
CM1,random_forest,44,42,0.5,309,84,105,31,8,10,0.734375,0.28254099486684625,0.9166666666666666,0.5625,1.0,0.125,0.2222222222222222,0.125,76,0,7,1,0.8300000000000001,0.3167843871104741,0.8857142857142857,0.48947368421052634,0.0,0.0,0.0,-0.021052631578947323,93,2,10,0,,
CM1,mlp,44,42,0.5,309,84,105,31,8,10,0.683388157894737,0.3420008912655972,0.9047619047619048,0.5,0.0,0.0,0.0,0.0,76,0,8,0,0.848421052631579,0.30251985514485513,0.8952380952380953,0.5394736842105263,0.3333333333333333,0.1,0.15384615384615385,0.07894736842105265,93,2,9,1,50.0,0.1924907607107345
CM1,logistic_regression,45,42,0.5,309,84,105,31,8,10,0.658717105263158,0.24217908317173026,0.9047619047619048,0.5,0.0,0.0,0.0,0.0,76,0,8,0,0.8536842105263158,0.36075206768399676,0.8952380952380953,0.5394736842105263,0.3333333333333333,0.1,0.15384615384615385,0.07894736842105265,93,2,9,1,,
CM1,random_forest,45,42,0.5,309,84,105,31,8,10,0.6866776315789473,0.26801332192956234,0.9047619047619048,0.5,0.0,0.0,0.0,0.0,76,0,8,0,0.8326315789473684,0.3173974358974359,0.8857142857142857,0.48947368421052634,0.0,0.0,0.0,-0.021052631578947323,93,2,10,0,,
CM1,mlp,45,42,0.5,309,84,105,31,8,10,0.6669407894736843,0.3261725324144918,0.9166666666666666,0.5625,1.0,0.125,0.2222222222222222,0.125,76,0,7,1,0.8863157894736843,0.37037004662004663,0.8952380952380953,0.49473684210526314,0.0,0.0,0.0,-0.010526315789473717,94,1,10,0,50.0,0.17580967036708664
CM1,logistic_regression,46,42,0.5,309,84,105,31,8,10,0.658717105263158,0.24217908317173026,0.9047619047619048,0.5,0.0,0.0,0.0,0.0,76,0,8,0,0.8536842105263158,0.36075206768399676,0.8952380952380953,0.5394736842105263,0.3333333333333333,0.1,0.15384615384615385,0.07894736842105265,93,2,9,1,,
CM1,random_forest,46,42,0.5,309,84,105,31,8,10,0.6825657894736842,0.26496770431982103,0.9047619047619048,0.5,0.0,0.0,0.0,0.0,76,0,8,0,0.8215789473684211,0.31166716335194594,0.8857142857142857,0.48947368421052634,0.0,0.0,0.0,-0.021052631578947323,93,2,10,0,,
CM1,mlp,46,42,0.5,309,84,105,31,8,10,0.6570723684210528,0.3256554064899052,0.9047619047619048,0.555921052631579,0.5,0.125,0.2,0.11184210526315796,75,1,7,1,0.8747368421052631,0.3360993298356628,0.8952380952380953,0.5394736842105263,0.3333333333333333,0.1,0.15384615384615385,0.07894736842105265,93,2,9,1,50.0,0.1785126380252088
JM1,logistic_regression,42,42,0.5,8491,2190,2523,1336,347,420,0.6952789666015659,0.3257639168237151,0.8388127853881279,0.532291355561428,0.453125,0.08357348703170028,0.1411192214111922,0.06458271112285607,1808,35,318,29,0.7184515318252835,0.3753051177070119,0.8378913991280222,0.5416768561918348,0.5774647887323944,0.09761904761904762,0.1670061099796334,0.08335371238366962,2073,30,379,41,,
JM1,random_forest,42,42,0.5,8491,2190,2523,1336,347,420,0.683630404630966,0.3424926234936273,0.8365296803652968,0.5742110110535854,0.46153846153846156,0.19020172910662825,0.2693877551020408,0.14842202210717081,1766,77,281,66,0.7164090981138057,0.38740350878060936,0.8370986920332937,0.5831210515589974,0.5279503105590062,0.20238095238095238,0.29259896729776247,0.1662421031179948,2027,76,335,85,,
