dataset,model,n_seeds,split_seed,test_roc_auc_mean,test_roc_auc_sd,test_pr_auc_mean,test_pr_auc_sd,test_accuracy_mean,test_accuracy_sd,test_balanced_accuracy_mean,test_balanced_accuracy_sd,test_precision_mean,test_precision_sd,test_recall_mean,test_recall_sd,test_f1_mean,test_f1_sd,test_youden_j_mean,test_youden_j_sd
CM1,logistic_regression,5,42,0.8536842105263158,0.0,0.3607520676839967,0.0,0.8952380952380953,0.0,0.5394736842105263,0.0,0.3333333333333333,0.0,0.1,0.0,0.1538461538461538,0.0,0.0789473684210526,0.0
CM1,mlp,5,42,0.8698947368421053,0.014559078233280096,0.3342312084292294,0.025050363725693463,0.8933333333333333,0.004259177099999634,0.5205263157894736,0.02601139745926649,0.2,0.18257418583505536,0.06000000000000001,0.05477225575051661,0.09230769230769229,0.08426500884694861,0.04105263157894736,0.052022794918532886
CM1,random_forest,5,42,0.8221052631578948,0.012019144470178184,0.3154733095274169,0.004795681152944241,0.8876190476190476,0.004259177099999634,0.49947368421052624,0.022360679774997914,0.06666666666666667,0.14907119849998599,0.02,0.044721359549995794,0.03076923076923076,0.06880209161537813,-0.0010526315789473177,0.04472135954999575
JM1,logistic_regression,5,42,0.7184515318252835,0.0,0.3753051177070119,0.0,0.8378913991280224,1.2412670766236366e-16,0.5416768561918348,0.0,0.5774647887323944,0.0,0.0976190476190476,0.0,0.1670061099796334,0.0,0.0833537123836696,0.0
JM1,mlp,5,42,0.697703167810158,0.007371551381558206,0.3629184289543012,0.01342145546587034,0.8351169242964724,0.0025379010057205425,0.5748821411588887,0.014606633021438132,0.5118884396283917,0.02262000142824266,0.1847619047619047,0.03411498497063254,0.27035436192574086,0.03975513241508772,0.1497642823177773,0.02921326604287627
JM1,random_forest,5,42,0.718030364785001,0.0014462108883218684,0.38543375685990455,0.0016792715978688718,0.8353547364248911,0.0013323611822411178,0.5816938387337818,0.0013569798099306795,0.5141455130710983,0.010495854250056478,0.20142857142857137,0.002714703393093154,0.28942776273529885,0.003252391238196569,0.16338767746756333,0.0027139596198613833
KC1,logistic_regression,5,42,0.7800245348599468,0.0,0.4164660042762571,0.0,0.8472222222222221,1.2412670766236366e-16,0.5562052749948886,0.0,0.5294117647058824,0.0,0.1343283582089552,0.0,0.2142857142857142,0.0,0.1124105499897771,0.0
KC1,mlp,5,42,0.7667552647720303,0.010508402211811799,0.3806815397489616,0.0069734213523316105,0.8430555555555556,0.0038036288715636735,0.5817665099161726,0.015705074820120374,0.48752085650723026,0.026629371393222363,0.20298507462686563,0.038920611374344154,0.2844575290284811,0.04193216923175297,0.16353301983234517,0.03141014964024075
KC1,random_forest,5,42,0.7676098957268452,0.0039822304446727255,0.37819325340589616,0.010909610000606808,0.8157407407407407,0.015055196797693593,0.5985033735432428,0.011860290407876012,0.38203322015282354,0.05942044468527531,0.28358208955223874,0.025851504590580283,0.3234137757667169,0.022917823758250848,0.19700674708648536,0.023720580815752023
KC2,logistic_regression,5,42,0.8239700374531835,0.0,0.583305877050964,0.0,0.8363636363636363,0.0,0.6260032102728732,0.0,0.6666666666666666,0.0,0.2857142857142857,0.0,0.4,0.0,0.2520064205457464,0.0
KC2,mlp,5,42,0.8584269662921347,0.008794543040660421,0.6083676266375528,0.018730777985069315,0.8363636363636363,0.006428243465332252,0.6733012306046013,0.012890321628690202,0.605934065934066,0.026046506111536045,0.4095238095238094,0.026082026547865053,0.48840336134453777,0.02362973809163997,0.3466024612092027,0.025780643257380418
KC2,random_forest,5,42,0.8188336008560727,0.006886827234548668,0.5755942391526953,0.012910959018118312,0.8436363636363635,0.007606000241218877,0.652327447833066,0.012231085814529252,0.68,0.041361138785735725,0.34285714285714286,0.02129588549999797,0.4556451612903226,0.025779660993033113,0.3046548956661317,0.024462171629058498
PC1,logistic_regression,5,42,0.6484287317620652,0.0,0.182942059470449,0.0,0.9074074074074074,0.0,0.5202020202020202,0.0,0.25,0.0,0.05555555555555549,7.757919228897728e-18,0.0909090909090909,0.0,0.0404040404040404,0.0
PC1,mlp,5,42,0.7635241301907969,0.021130945514105017,0.19595351882583864,0.013875442401798362,0.8935185185185185,0.0065472850109865414,0.4924242424242424,0.013121597027036951,0.03333333333333332,0.07453559924999296,0.0111111111111111,0.024845199749997635,0.01666666666666666,0.03726779962499648,-0.015151515151515138,0.026243194054073826
PC1,random_forest,5,42,0.7354096520763187,0.010471728563700966,0.24087714047218856,0.00392674302763999,0.9157407407407406,0.0020704333124997153,0.544949494949495,0.012422599874998837,0.4666666666666666,0.074535599249993,0.09999999999999998,0.024845199749997687,0.16450216450216446,0.03871979181817818,0.08989898989898988,0.024845199749997677
