dataset,baseline_model,metric,analysis_group,n_pairs,hybrid_mean,baseline_mean,mean_difference_hybrid_minus_baseline,sd_paired_difference,ci95_lower,ci95_upper,paired_cohens_d,paired_rank_biserial,wilcoxon_statistic,wilcoxon_p_value,wilcoxon_p_holm_by_metric,exact_sign_flip_p_value,sign_flip_p_holm_by_metric,observed_direction
CM1,logistic_regression,roc_auc,primary,5,0.7987368421052631,0.8536842105263158,-0.054947368421052675,0.013028840797276448,-0.0711248109773593,-0.03876992586474605,-4.217364328570112,-1.0,0.0,0.0625,0.9375,0.0625,0.9375,hybrid_attention_lower
CM1,logistic_regression,pr_auc,primary,5,0.26280793392223106,0.3607520676839967,-0.09794413376176564,0.013785922773521916,-0.11506161775166522,-0.08082664977186606,-7.104648369994,-1.0,0.0,0.0625,0.9375,0.0625,0.9375,hybrid_attention_lower
CM1,logistic_regression,f1,primary,5,0.11648351648351643,0.1538461538461538,-0.03736263736263736,0.06528989352752941,-0.11843074760232775,0.04370547287705303,-0.5722575936945501,-1.0,0.0,0.125,1.0,0.125,1.0,hybrid_attention_lower
CM1,logistic_regression,accuracy,supplementary,5,0.8895238095238096,0.8952380952380953,-0.00571428571428576,0.005216405309573053,-0.012191308387221593,0.0007627369586500734,-1.0954451150103321,-1.0,0.0,0.25,1.0,0.25,1.0,hybrid_attention_lower
CM1,logistic_regression,precision,supplementary,5,0.21666666666666665,0.3333333333333333,-0.11666666666666665,0.12638125740085918,-0.2735897240290368,0.04025639069570351,-0.9231326627541017,-1.0,0.0,0.125,1.0,0.125,1.0,hybrid_attention_lower
CM1,logistic_regression,recall,supplementary,5,0.08,0.1,-0.02,0.044721359549995794,-0.07552890210395598,0.03552890210395597,-0.4472135954999579,-1.0,0.0,1.0,1.0,1.0,1.0,hybrid_attention_lower
CM1,random_forest,roc_auc,primary,5,0.7987368421052631,0.8221052631578948,-0.023368421052631594,0.023123778698003482,-0.05208038456437368,0.005343542459110496,-1.0105796875944515,-0.8666666666666667,1.0,0.125,0.9375,0.125,0.9375,hybrid_attention_lower
CM1,random_forest,pr_auc,primary,5,0.26280793392223106,0.3154733095274169,-0.052665375605185874,0.01739066226544905,-0.07425873484511471,-0.031072016365257037,-3.02837090395453,-1.0,0.0,0.0625,0.9375,0.0625,0.9375,hybrid_attention_lower
CM1,random_forest,f1,primary,5,0.11648351648351643,0.03076923076923076,0.08571428571428567,0.07824607964359512,-0.011441054379750973,0.18286962580832233,1.0954451150103324,1.0,0.0,0.25,1.0,0.25,1.0,hybrid_attention_higher
CM1,random_forest,accuracy,supplementary,5,0.8895238095238096,0.8876190476190476,0.0019047619047619202,0.004259177099999634,-0.0033837049622815482,0.007193228771805389,0.4472135954999579,1.0,0.0,1.0,1.0,1.0,1.0,hybrid_attention_higher
CM1,random_forest,precision,supplementary,5,0.21666666666666665,0.06666666666666667,0.15,0.13693063937629155,-0.02002184516456426,0.3200218451645642,1.0954451150103321,1.0,0.0,0.25,1.0,0.25,1.0,hybrid_attention_higher
CM1,random_forest,recall,supplementary,5,0.08,0.02,0.06000000000000001,0.05477225575051661,-0.008008738065825693,0.12800873806582572,1.0954451150103324,1.0,0.0,0.25,1.0,0.25,1.0,hybrid_attention_higher
CM1,mlp,roc_auc,primary,5,0.7987368421052631,0.8698947368421053,-0.07115789473684213,0.01586997024819741,-0.09086306544659375,-0.05145272402709051,-4.483807696169096,-1.0,0.0,0.0625,0.9375,0.0625,0.9375,hybrid_attention_lower
CM1,mlp,pr_auc,primary,5,0.26280793392223106,0.3342312084292294,-0.07142327450699827,0.019909866199043714,-0.09614463857540492,-0.04670191043859162,-3.5873307129722845,-1.0,0.0,0.0625,0.9375,0.0625,0.9375,hybrid_attention_lower
CM1,mlp,f1,primary,5,0.11648351648351643,0.09230769230769229,0.024175824175824156,0.12753882323036617,-0.13418454100259572,0.182536189354244,0.189556588052853,0.0,7.5,1.0,1.0,1.0,1.0,hybrid_attention_higher
CM1,mlp,accuracy,supplementary,5,0.8895238095238096,0.8933333333333333,-0.0038095238095238403,0.008518354199999268,-0.014386457543610778,0.0067674099245630965,-0.4472135954999579,-0.5,2.5,0.625,1.0,0.625,1.0,hybrid_attention_lower
CM1,mlp,precision,supplementary,5,0.21666666666666665,0.2,0.016666666666666673,0.2725904538966021,-0.32179908619076775,0.3551324195241011,0.06114178405157433,0.0,7.5,1.0,1.0,1.0,1.0,hybrid_attention_higher
CM1,mlp,recall,supplementary,5,0.08,0.06000000000000001,0.02,0.08366600265340757,-0.08388506336835697,0.12388506336835697,0.2390457218668787,0.3333333333333333,2.0,0.75,1.0,1.0,1.0,hybrid_attention_higher
JM1,logistic_regression,roc_auc,primary,5,0.722110250662319,0.7184515318252835,0.0036587188370356127,0.002622999048293185,0.00040183535144722215,0.006915602322624004,1.394860909086636,0.8666666666666667,1.0,0.125,0.9375,0.125,0.9375,hybrid_attention_higher
JM1,logistic_regression,pr_auc,primary,5,0.3792354380074763,0.3753051177070119,0.00393032030046434,0.0035560663890511113,-0.00048511931004289327,0.008345759910971574,1.105243792007239,1.0,0.0,0.0625,0.9375,0.0625,0.9375,hybrid_attention_higher
JM1,logistic_regression,f1,primary,5,0.1677261478437791,0.1670061099796334,0.0007200378641456894,0.030679746226393582,-0.037373898499195084,0.03881397422748647,0.02346948566107257,-0.06666666666666667,7.0,1.0,1.0,1.0,1.0,hybrid_attention_higher
