dataset,training_seed,split_seed,best_epoch,best_validation_loss,test_loss,roc_auc,pr_auc,accuracy,precision,recall,f1,true_negatives,false_positives,false_negatives,true_positives,train_samples,validation_samples,test_samples,parameter_count,batch_size,learning_rate,weight_decay,embedding_dim,num_heads,dropout,threshold,checkpoint
CM1,42,42,32,0.295207842474892,0.2956971282050723,0.791578947368421,0.2579012514892136,0.8857142857142857,0.25,0.1,0.14285714285714288,92,3,9,1,309,84,105,9985,32,0.001,0.0001,32,4,0.1,0.5,D:\Projects\software-reliability-hybrid-attention\research_analysis\models\cm1_seed42_best.pt
CM1,43,42,29,0.2752640758241926,0.2884802159808931,0.82,0.2801274680711645,0.8952380952380953,0.3333333333333333,0.1,0.15384615384615383,93,2,9,1,309,84,105,9985,32,0.001,0.0001,32,4,0.1,0.5,D:\Projects\software-reliability-hybrid-attention\research_analysis\models\cm1_seed43_best.pt
CM1,44,42,40,0.27043555464063374,0.28434846628279914,0.7947368421052632,0.2429840036338055,0.8857142857142857,0.25,0.1,0.14285714285714288,92,3,9,1,309,84,105,9985,32,0.001,0.0001,32,4,0.1,0.5,D:\Projects\software-reliability-hybrid-attention\research_analysis\models\cm1_seed44_best.pt
CM1,45,42,31,0.2769129233700888,0.30384944961184546,0.8010526315789473,0.2637103841668056,0.8857142857142857,0.25,0.1,0.14285714285714288,92,3,9,1,309,84,105,9985,32,0.001,0.0001,32,4,0.1,0.5,D:\Projects\software-reliability-hybrid-attention\research_analysis\models\cm1_seed45_best.pt
CM1,46,42,18,0.29390051819029306,0.27936673959096275,0.7863157894736842,0.26931656225016615,0.8952380952380953,0.0,0.0,0.0,94,1,10,0,309,84,105,9985,32,0.001,0.0001,32,4,0.1,0.5,D:\Projects\software-reliability-hybrid-attention\research_analysis\models\cm1_seed46_best.pt
JM1,42,42,15,0.39859195068546627,0.4029481161623496,0.7238361297919073,0.37840582389836663,0.8398731668648435,0.6290322580645161,0.09285714285714286,0.16182572614107885,2080,23,381,39,8491,2190,2523,9985,32,0.001,0.0001,32,4,0.1,0.5,D:\Projects\software-reliability-hybrid-attention\research_analysis\models\jm1_seed42_best.pt
JM1,43,42,12,0.398633356480838,0.40340818455306204,0.718242646559337,0.3819363438778014,0.8426476416963932,0.6575342465753424,0.11428571428571428,0.1947261663286004,2078,25,372,48,8491,2190,2523,9985,32,0.001,0.0001,32,4,0.1,0.5,D:\Projects\software-reliability-hybrid-attention\research_analysis\models\jm1_seed43_best.pt
JM1,44,42,10,0.3990663588455279,0.4033553866146105,0.7225437583497497,0.37560432742518857,0.8406658739595719,0.6607142857142857,0.0880952380952381,0.15546218487394958,2084,19,383,37,8491,2190,2523,9985,32,0.001,0.0001,32,4,0.1,0.5,D:\Projects\software-reliability-hybrid-attention\research_analysis\models\jm1_seed44_best.pt
JM1,45,42,18,0.39867826414434876,0.4032871551188599,0.7209723071349321,0.37638266504733964,0.8422512881490289,0.6410256410256411,0.11904761904761904,0.20080321285140562,2075,28,370,50,8491,2190,2523,9985,32,0.001,0.0001,32,4,0.1,0.5,D:\Projects\software-reliability-hybrid-attention\research_analysis\models\jm1_seed45_best.pt
JM1,46,42,9,0.39725155939250234,0.4021029146982477,0.7249564114756697,0.3838480297886852,0.8402695204122077,0.7073170731707317,0.06904761904761905,0.12581344902386118,2091,12,391,29,8491,2190,2523,9985,32,0.001,0.0001,32,4,0.1,0.5,D:\Projects\software-reliability-hybrid-attention\research_analysis\models\jm1_seed46_best.pt
KC1,42,42,17,0.35600965045368244,0.3931549627471853,0.7570026579431609,0.35554193235549636,0.8379629629629629,0.4117647058823529,0.1044776119402985,0.16666666666666669,355,10,60,7,1370,307,432,9985,32,0.001,0.0001,32,4,0.1,0.5,D:\Projects\software-reliability-hybrid-attention\research_analysis\models\kc1_seed42_best.pt
KC1,43,42,11,0.3488676102668144,0.3818408799944101,0.7610918012676344,0.3567600405968405,0.8402777777777778,0.42857142857142855,0.08955223880597014,0.14814814814814814,357,8,61,6,1370,307,432,9985,32,0.001,0.0001,32,4,0.1,0.5,D:\Projects\software-reliability-hybrid-attention\research_analysis\models\kc1_seed43_best.pt
KC1,44,42,10,0.3505715024490698,0.3846974201776363,0.759905949703537,0.36137603277892766,0.8356481481481481,0.4,0.11940298507462686,0.1839080459770115,353,12,59,8,1370,307,432,9985,32,0.001,0.0001,32,4,0.1,0.5,D:\Projects\software-reliability-hybrid-attention\research_analysis\models\kc1_seed44_best.pt
KC1,45,42,21,0.3529119337954428,0.38803333457973266,0.7755673686362707,0.3584968728304729,0.8333333333333334,0.3333333333333333,0.07462686567164178,0.12195121951219512,355,10,62,5,1370,307,432,9985,32,0.001,0.0001,32,4,0.1,0.5,D:\Projects\software-reliability-hybrid-attention\research_analysis\models\kc1_seed45_best.pt
KC1,46,42,7,0.35145279935012036,0.388069572824019,0.7516458801881006,0.3607128090459869,0.8379629629629629,0.4,0.08955223880597014,0.14634146341463417,356,9,61,6,1370,307,432,9985,32,0.001,0.0001,32,4,0.1,0.5,D:\Projects\software-reliability-hybrid-attention\research_analysis\models\kc1_seed46_best.pt
KC2,42,42,24,0.45654897978811554,0.3723921927538785,0.8234349919743178,0.5797099195034576,0.8545454545454545,0.7777777777777778,0.3333333333333333,0.4666666666666666,87,2,14,7,346,66,110,9985,32,0.001,0.0001,32,4,0.1,0.5,D:\Projects\software-reliability-hybrid-attention\research_analysis\models\kc2_seed42_best.pt
KC2,43,42,17,0.45388943498784845,0.37995293790643864,0.8226324237560192,0.5769690011433923,0.8454545454545455,0.7,0.3333333333333333,0.45161290322580644,86,3,14,7,346,66,110,9985,32,0.001,0.0001,32,4,0.1,0.5,D:\Projects\software-reliability-hybrid-attention\research_analysis\models\kc2_seed43_best.pt
KC2,44,42,14,0.4546857602668531,0.38385829492048784,0.826645264847512,0.5688723083983132,0.8181818181818182,0.5384615384615384,0.3333333333333333,0.41176470588235287,83,6,14,7,346,66,110,9985,32,0.001,0.0001,32,4,0.1,0.5,D:\Projects\software-reliability-hybrid-attention\research_analysis\models\kc2_seed44_best.pt
