dataset,metric,n_seeds,mean,std,mean_plus_minus_std
CM1,roc_auc,5,0.7987368421052631,0.013028840797276448,0.798737 ± 0.013029
CM1,pr_auc,5,0.26280793392223106,0.013785922773521916,0.262808 ± 0.013786
CM1,accuracy,5,0.8895238095238096,0.005216405309573053,0.889524 ± 0.005216
CM1,precision,5,0.21666666666666665,0.12638125740085918,0.216667 ± 0.126381
CM1,recall,5,0.08,0.044721359549995794,0.080000 ± 0.044721
CM1,f1,5,0.11648351648351643,0.06528989352752941,0.116484 ± 0.065290
CM1,test_loss,5,0.2903483999343145,0.009630335086495112,0.290348 ± 0.009630
CM1,best_validation_loss,5,0.28234418290002006,0.011406846039838416,0.282344 ± 0.011407
CM1,best_epoch,5,30.0,7.905694150420948,30.000000 ± 7.905694
JM1,roc_auc,5,0.722110250662319,0.002622999048293185,0.722110 ± 0.002623
JM1,pr_auc,5,0.3792354380074763,0.0035560663890511113,0.379235 ± 0.003556
JM1,accuracy,5,0.8411414982164092,0.0012344361079981972,0.841141 ± 0.001234
JM1,precision,5,0.6591247009101033,0.029835767771518425,0.659125 ± 0.029836
JM1,recall,5,0.09666666666666664,0.02038462361238474,0.096667 ± 0.020385
JM1,f1,5,0.1677261478437791,0.030679746226393582,0.167726 ± 0.030680
JM1,test_loss,5,0.4030203514294259,0.0005433128484862772,0.403020 ± 0.000543
JM1,best_validation_loss,5,0.3984442979097366,0.0006931575691641032,0.398444 ± 0.000693
JM1,best_epoch,5,12.8,3.7013511046643495,12.800000 ± 3.701351
KC1,roc_auc,5,0.7610427315477406,0.00890060073194242,0.761043 ± 0.008901
KC1,pr_auc,5,0.35857753752154486,0.0024957794762620208,0.358578 ± 0.002496
KC1,accuracy,5,0.837037037037037,0.0026392949655072466,0.837037 ± 0.002639
KC1,precision,5,0.394733893557423,0.03626472078422843,0.394734 ± 0.036265
KC1,recall,5,0.09552238805970144,0.017017543658196098,0.095522 ± 0.017018
KC1,f1,5,0.1534031087437311,0.023308667627244047,0.153403 ± 0.023309
KC1,test_loss,5,0.3871592340645966,0.004239308564865997,0.387159 ± 0.004239
KC1,best_validation_loss,5,0.3519626992630259,0.002695081748662775,0.351963 ± 0.002695
KC1,best_epoch,5,13.2,5.674504383644443,13.200000 ± 5.674504
KC2,roc_auc,5,0.8231139646869983,0.006871221442376862,0.823114 ± 0.006871
KC2,pr_auc,5,0.581355140882453,0.010450680686257508,0.581355 ± 0.010451
KC2,accuracy,5,0.8399999999999999,0.016514456476895374,0.840000 ± 0.016514
KC2,precision,5,0.6754700854700855,0.11044904658393202,0.675470 ± 0.110449
KC2,recall,5,0.3333333333333333,0.0,0.333333 ± 0.000000
KC2,f1,5,0.44419067333678336,0.02507392099444067,0.444191 ± 0.025074
KC2,test_loss,5,0.37534340121529314,0.006493609030620361,0.375343 ± 0.006494
KC2,best_validation_loss,5,0.4552156072674375,0.002687082655609785,0.455216 ± 0.002687
KC2,best_epoch,5,17.8,3.7013511046643495,17.800000 ± 3.701351
PC1,roc_auc,5,0.6886363636363637,0.0034940828580798887,0.688636 ± 0.003494
PC1,pr_auc,5,0.23990893000697006,0.00741611786877953,0.239909 ± 0.007416
PC1,accuracy,5,0.9175925925925925,0.002070433312499864,0.917593 ± 0.002070
PC1,precision,5,0.2,0.44721359549995804,0.200000 ± 0.447214
PC1,recall,5,0.0111111111111111,0.024845199749997632,0.011111 ± 0.024845
PC1,f1,5,0.021052631578947358,0.047075115315785024,0.021053 ± 0.047075
PC1,test_loss,5,0.2761458778270968,0.0011875276288460881,0.276146 ± 0.001188
PC1,best_validation_loss,5,0.26663444385542506,0.0033259156367817966,0.266634 ± 0.003326
PC1,best_epoch,5,4.2,0.8366600265340756,4.200000 ± 0.836660
