dataset,criterion,threshold,validation_accuracy,validation_balanced_accuracy,validation_precision,validation_recall,validation_f1,validation_youden_j,test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_f1,test_youden_j,test_true_negatives,test_false_positives,test_false_negatives,test_true_positives
CM1,max_f1,0.219,0.8928571428571429,0.6611842105263157,0.42857142857142855,0.375,0.4,0.3223684210526314,0.8476190476190476,0.5578947368421052,0.2,0.2,0.2,0.11578947368421044,87,8,8,2
CM1,max_balanced_accuracy,0.09,0.7619047619047619,0.700657894736842,0.22727272727272727,0.625,0.3333333333333333,0.40131578947368407,0.6761904761904762,0.7315789473684211,0.2,0.8,0.32,0.4631578947368422,63,32,2,8
CM1,max_youden_j,0.09,0.7619047619047619,0.700657894736842,0.22727272727272727,0.625,0.3333333333333333,0.40131578947368407,0.6761904761904762,0.7315789473684211,0.2,0.8,0.32,0.4631578947368422,63,32,2,8
JM1,max_f1,0.26,0.7986301369863014,0.6417545319074744,0.3763157894736842,0.41210374639769454,0.39339752407152684,0.2835090638149489,0.8026159334126041,0.6253158752802119,0.3973684210526316,0.3595238095238095,0.3775,0.25063175056042386,1874,229,269,151
JM1,max_balanced_accuracy,0.176,0.6662100456621004,0.6578181169969399,0.2692307692307692,0.6455331412103746,0.3799830364715861,0.31563623399387986,0.6611177170035671,0.6785816180965967,0.2882181110029211,0.7047619047619048,0.4091223220456116,0.35716323619319335,1372,731,124,296
JM1,max_youden_j,0.176,0.6662100456621004,0.6578181169969399,0.2692307692307692,0.6455331412103746,0.3799830364715861,0.31563623399387986,0.6611177170035671,0.6785816180965967,0.2882181110029211,0.7047619047619048,0.4091223220456116,0.35716323619319335,1372,731,124,296
KC1,max_f1,0.34,0.8403908794788274,0.7113618677042801,0.5098039215686274,0.52,0.5148514851485149,0.42272373540856023,0.8240740740740741,0.6034348803925578,0.40425531914893614,0.2835820895522388,0.3333333333333333,0.20686976078511554,337,28,48,19
KC1,max_balanced_accuracy,0.144,0.7133550488599348,0.7724124513618678,0.3467741935483871,0.86,0.4942528735632184,0.5448249027237355,0.6574074074074074,0.6875894500102229,0.2737430167597765,0.7313432835820896,0.3983739837398374,0.37517890002044574,235,130,18,49
KC1,max_youden_j,0.144,0.7133550488599348,0.7724124513618678,0.3467741935483871,0.86,0.4942528735632184,0.5448249027237355,0.6574074074074074,0.6875894500102229,0.2737430167597765,0.7313432835820896,0.3983739837398374,0.37517890002044574,235,130,18,49
KC2,max_f1,0.3,0.7575757575757576,0.7406962785114046,0.5217391304347826,0.7058823529411765,0.6,0.48139255702280925,0.7909090909090909,0.6888710540395934,0.4583333333333333,0.5238095238095238,0.4888888888888889,0.37774210807918673,76,13,10,11
KC2,max_balanced_accuracy,0.3,0.7575757575757576,0.7406962785114046,0.5217391304347826,0.7058823529411765,0.6,0.48139255702280925,0.7909090909090909,0.6888710540395934,0.4583333333333333,0.5238095238095238,0.4888888888888889,0.37774210807918673,76,13,10,11
KC2,max_youden_j,0.3,0.7575757575757576,0.7406962785114046,0.5217391304347826,0.7058823529411765,0.6,0.48139255702280925,0.7909090909090909,0.6888710540395934,0.4583333333333333,0.5238095238095238,0.4888888888888889,0.37774210807918673,76,13,10,11
PC1,max_f1,0.338,0.9298245614035088,0.6364877161055504,0.6666666666666666,0.2857142857142857,0.4,0.2729754322111009,0.9166666666666666,0.5252525252525252,0.5,0.05555555555555555,0.1,0.050505050505050386,197,1,17,1
PC1,max_balanced_accuracy,0.033,0.4619883040935672,0.6744767970882621,0.125,0.9285714285714286,0.22033898305084745,0.3489535941765243,0.47685185185185186,0.6893939393939394,0.13178294573643412,0.9444444444444444,0.23129251700680273,0.3787878787878789,86,112,1,17
PC1,max_youden_j,0.033,0.4619883040935672,0.6744767970882621,0.125,0.9285714285714286,0.22033898305084745,0.3489535941765243,0.47685185185185186,0.6893939393939394,0.13178294573643412,0.9444444444444444,0.23129251700680273,0.3787878787878789,86,112,1,17
