dataset,baseline_model,metric,analysis_group,training_seeds,split_seed,n_pairs,hybrid_mean,baseline_mean,mean_difference_hybrid_minus_baseline,sd_paired_difference,wilcoxon_statistic,wilcoxon_p_value,exact_sign_flip_p_value,paired_rank_biserial,wilcoxon_p_holm_by_metric,sign_flip_p_holm_by_metric,observed_direction,wilcoxon_holm_significant_alpha_0.05,sign_flip_holm_significant_alpha_0.05
CM1,logistic_regression,accuracy,supplementary,"42,43,44,45,46",42,5,0.8895238095238096,0.8952380952380953,-0.00571428571428576,0.005216405309573053,0.0,0.25,0.25,-1.0,1.0,1.0,hybrid_attention_lower,False,False
CM1,mlp,accuracy,supplementary,"42,43,44,45,46",42,5,0.8895238095238096,0.8933333333333333,-0.0038095238095238403,0.008518354199999268,2.5,0.625,0.625,-0.5,1.0,1.0,hybrid_attention_lower,False,False
CM1,random_forest,accuracy,supplementary,"42,43,44,45,46",42,5,0.8895238095238096,0.8876190476190476,0.0019047619047619202,0.004259177099999634,0.0,1.0,1.0,1.0,1.0,1.0,hybrid_attention_higher,False,False
JM1,logistic_regression,accuracy,supplementary,"42,43,44,45,46",42,5,0.8411414982164092,0.8378913991280224,0.003250099088386804,0.0012344361079981972,0.0,0.0625,0.0625,1.0,0.9375,0.9375,hybrid_attention_higher,False,False
JM1,mlp,accuracy,supplementary,"42,43,44,45,46",42,5,0.8411414982164092,0.8351169242964724,0.006024573919936582,0.0029845185250918452,0.0,0.0625,0.0625,1.0,0.9375,0.9375,hybrid_attention_higher,False,False
JM1,random_forest,accuracy,supplementary,"42,43,44,45,46",42,5,0.8411414982164092,0.8353547364248911,0.005786761791518047,0.002108511467026609,0.0,0.0625,0.0625,1.0,0.9375,0.9375,hybrid_attention_higher,False,False
KC1,logistic_regression,accuracy,supplementary,"42,43,44,45,46",42,5,0.837037037037037,0.8472222222222221,-0.010185185185185186,0.0026392949655072466,0.0,0.0625,0.0625,-1.0,0.9375,0.9375,hybrid_attention_lower,False,False
KC1,mlp,accuracy,supplementary,"42,43,44,45,46",42,5,0.837037037037037,0.8430555555555556,-0.006018518518518534,0.003105649968749718,0.0,0.0625,0.0625,-1.0,0.9375,0.9375,hybrid_attention_lower,False,False
KC1,random_forest,accuracy,supplementary,"42,43,44,45,46",42,5,0.837037037037037,0.8157407407407407,0.02129629629629628,0.013537214367790193,1.0,0.125,0.125,0.8666666666666667,1.0,1.0,hybrid_attention_higher,False,False
KC2,logistic_regression,accuracy,supplementary,"42,43,44,45,46",42,5,0.8399999999999999,0.8363636363636363,0.003636363636363682,0.01651445647689537,4.0,0.4375,0.5,0.4666666666666667,1.0,1.0,hybrid_attention_higher,False,False
KC2,mlp,accuracy,supplementary,"42,43,44,45,46",42,5,0.8399999999999999,0.8363636363636363,0.0036363636363636598,0.01651445647689541,5.0,0.625,0.625,0.3333333333333333,1.0,1.0,hybrid_attention_higher,False,False
