dataset,model,n_seeds,split_seed,train_samples,validation_samples,test_samples,test_roc_auc_mean,test_roc_auc_sd,test_pr_auc_mean,test_pr_auc_sd,test_accuracy_mean,test_accuracy_sd,test_precision_mean,test_precision_sd,test_recall_mean,test_recall_sd,test_f1_mean,test_f1_sd
CM1,hybrid_attention,5,42,309,84,105,0.7987368421052631,0.0130288407972764,0.262807933922231,0.0137859227735219,0.8895238095238096,0.005216405309573,0.2166666666666666,0.1263812574008591,0.08,0.0447213595499957,0.1164835164835164,0.0652898935275294
CM1,logistic_regression,5,42,309,84,105,0.8536842105263158,0.0,0.3607520676839967,0.0,0.8952380952380953,0.0,0.3333333333333333,0.0,0.1,0.0,0.1538461538461538,0.0
CM1,mlp,5,42,309,84,105,0.8698947368421053,0.01455907823328,0.3342312084292294,0.0250503637256934,0.8933333333333333,0.0042591770999996,0.2,0.1825741858350553,0.06,0.0547722557505166,0.0923076923076922,0.0842650088469486
CM1,random_forest,5,42,309,84,105,0.8221052631578948,0.0120191444701781,0.3154733095274169,0.0047956811529442,0.8876190476190476,0.0042591770999996,0.0666666666666666,0.1490711984999859,0.02,0.0447213595499957,0.0307692307692307,0.0688020916153781
JM1,hybrid_attention,5,42,8491,2190,2523,0.722110250662319,0.0026229990482931,0.3792354380074763,0.0035560663890511,0.8411414982164092,0.0012344361079981,0.6591247009101033,0.0298357677715184,0.0966666666666666,0.0203846236123847,0.1677261478437791,0.0306797462263935
JM1,logistic_regression,5,42,8491,2190,2523,0.7184515318252835,0.0,0.3753051177070119,0.0,0.8378913991280224,1.2412670766236366e-16,0.5774647887323944,0.0,0.0976190476190476,0.0,0.1670061099796334,0.0
JM1,mlp,5,42,8491,2190,2523,0.697703167810158,0.0073715513815582,0.3629184289543012,0.0134214554658703,0.8351169242964724,0.0025379010057205,0.5118884396283917,0.0226200014282426,0.1847619047619047,0.0341149849706325,0.2703543619257408,0.0397551324150877
JM1,random_forest,5,42,8491,2190,2523,0.718030364785001,0.0014462108883218,0.3854337568599045,0.0016792715978688,0.8353547364248911,0.0013323611822411,0.5141455130710983,0.0104958542500564,0.2014285714285713,0.0027147033930931,0.2894277627352988,0.0032523912381965
KC1,hybrid_attention,5,42,1370,307,432,0.7610427315477406,0.0089006007319424,0.3585775375215448,0.002495779476262,0.837037037037037,0.0026392949655072,0.394733893557423,0.0362647207842284,0.0955223880597014,0.017017543658196,0.1534031087437311,0.023308667627244
KC1,logistic_regression,5,42,1370,307,432,0.7800245348599468,0.0,0.4164660042762571,0.0,0.8472222222222221,1.2412670766236366e-16,0.5294117647058824,0.0,0.1343283582089552,0.0,0.2142857142857142,0.0
KC1,mlp,5,42,1370,307,432,0.7667552647720303,0.0105084022118117,0.3806815397489616,0.0069734213523316,0.8430555555555556,0.0038036288715636,0.4875208565072302,0.0266293713932223,0.2029850746268656,0.0389206113743441,0.2844575290284811,0.0419321692317529
KC1,random_forest,5,42,1370,307,432,0.7676098957268452,0.0039822304446727,0.3781932534058961,0.0109096100006068,0.8157407407407407,0.0150551967976935,0.3820332201528235,0.0594204446852753,0.2835820895522387,0.0258515045905802,0.3234137757667169,0.0229178237582508
KC2,hybrid_attention,5,42,346,66,110,0.8231139646869983,0.0068712214423768,0.581355140882453,0.0104506806862575,0.8399999999999999,0.0165144564768953,0.6754700854700855,0.110449046583932,0.3333333333333333,0.0,0.4441906733367833,0.0250739209944406
KC2,logistic_regression,5,42,346,66,110,0.8239700374531835,0.0,0.583305877050964,0.0,0.8363636363636363,0.0,0.6666666666666666,0.0,0.2857142857142857,0.0,0.4,0.0
KC2,mlp,5,42,346,66,110,0.8584269662921347,0.0087945430406604,0.6083676266375528,0.0187307779850693,0.8363636363636363,0.0064282434653322,0.605934065934066,0.026046506111536,0.4095238095238094,0.026082026547865,0.4884033613445377,0.0236297380916399
KC2,random_forest,5,42,346,66,110,0.8188336008560727,0.0068868272345486,0.5755942391526953,0.0129109590181183,0.8436363636363635,0.0076060002412188,0.68,0.0413611387857357,0.3428571428571428,0.0212958854999979,0.4556451612903226,0.0257796609930331
PC1,hybrid_attention,5,42,722,171,216,0.6886363636363637,0.0034940828580798,0.23990893000697,0.0074161178687795,0.9175925925925924,0.0020704333124998,0.2,0.447213595499958,0.0111111111111111,0.0248451997499976,0.0210526315789473,0.047075115315785
PC1,logistic_regression,5,42,722,171,216,0.6484287317620652,0.0,0.182942059470449,0.0,0.9074074074074074,0.0,0.25,0.0,0.0555555555555554,7.757919228897728e-18,0.0909090909090909,0.0
PC1,mlp,5,42,722,171,216,0.7635241301907969,0.021130945514105,0.1959535188258386,0.0138754424017983,0.8935185185185185,0.0065472850109865,0.0333333333333333,0.0745355992499929,0.0111111111111111,0.0248451997499976,0.0166666666666666,0.0372677996249964
PC1,random_forest,5,42,722,171,216,0.7354096520763187,0.0104717285637009,0.2408771404721885,0.0039267430276399,0.9157407407407406,0.0020704333124997,0.4666666666666666,0.074535599249993,0.0999999999999999,0.0248451997499976,0.1645021645021644,0.0387197918181781
