Dataset,Model,Seeds,Split Seed,ROC-AUC,PR-AUC,Accuracy,Precision,Recall,F1
CM1,Hybrid Attention,5,42,0.7987 ± 0.0130,0.2628 ± 0.0138,0.8895 ± 0.0052,0.2167 ± 0.1264,0.0800 ± 0.0447,0.1165 ± 0.0653
CM1,Logistic Regression,5,42,0.8537 ± 0.0000,0.3608 ± 0.0000,0.8952 ± 0.0000,0.3333 ± 0.0000,0.1000 ± 0.0000,0.1538 ± 0.0000
CM1,Random Forest,5,42,0.8221 ± 0.0120,0.3155 ± 0.0048,0.8876 ± 0.0043,0.0667 ± 0.1491,0.0200 ± 0.0447,0.0308 ± 0.0688
CM1,MLP,5,42,0.8699 ± 0.0146,0.3342 ± 0.0251,0.8933 ± 0.0043,0.2000 ± 0.1826,0.0600 ± 0.0548,0.0923 ± 0.0843
JM1,Hybrid Attention,5,42,0.7221 ± 0.0026,0.3792 ± 0.0036,0.8411 ± 0.0012,0.6591 ± 0.0298,0.0967 ± 0.0204,0.1677 ± 0.0307
JM1,Logistic Regression,5,42,0.7185 ± 0.0000,0.3753 ± 0.0000,0.8379 ± 0.0000,0.5775 ± 0.0000,0.0976 ± 0.0000,0.1670 ± 0.0000
JM1,Random Forest,5,42,0.7180 ± 0.0014,0.3854 ± 0.0017,0.8354 ± 0.0013,0.5141 ± 0.0105,0.2014 ± 0.0027,0.2894 ± 0.0033
JM1,MLP,5,42,0.6977 ± 0.0074,0.3629 ± 0.0134,0.8351 ± 0.0025,0.5119 ± 0.0226,0.1848 ± 0.0341,0.2704 ± 0.0398
KC1,Hybrid Attention,5,42,0.7610 ± 0.0089,0.3586 ± 0.0025,0.8370 ± 0.0026,0.3947 ± 0.0363,0.0955 ± 0.0170,0.1534 ± 0.0233
KC1,Logistic Regression,5,42,0.7800 ± 0.0000,0.4165 ± 0.0000,0.8472 ± 0.0000,0.5294 ± 0.0000,0.1343 ± 0.0000,0.2143 ± 0.0000
KC1,Random Forest,5,42,0.7676 ± 0.0040,0.3782 ± 0.0109,0.8157 ± 0.0151,0.3820 ± 0.0594,0.2836 ± 0.0259,0.3234 ± 0.0229
KC1,MLP,5,42,0.7668 ± 0.0105,0.3807 ± 0.0070,0.8431 ± 0.0038,0.4875 ± 0.0266,0.2030 ± 0.0389,0.2845 ± 0.0419
KC2,Hybrid Attention,5,42,0.8231 ± 0.0069,0.5814 ± 0.0105,0.8400 ± 0.0165,0.6755 ± 0.1104,0.3333 ± 0.0000,0.4442 ± 0.0251
KC2,Logistic Regression,5,42,0.8240 ± 0.0000,0.5833 ± 0.0000,0.8364 ± 0.0000,0.6667 ± 0.0000,0.2857 ± 0.0000,0.4000 ± 0.0000
KC2,Random Forest,5,42,0.8188 ± 0.0069,0.5756 ± 0.0129,0.8436 ± 0.0076,0.6800 ± 0.0414,0.3429 ± 0.0213,0.4556 ± 0.0258
KC2,MLP,5,42,0.8584 ± 0.0088,0.6084 ± 0.0187,0.8364 ± 0.0064,0.6059 ± 0.0260,0.4095 ± 0.0261,0.4884 ± 0.0236
PC1,Hybrid Attention,5,42,0.6886 ± 0.0035,0.2399 ± 0.0074,0.9176 ± 0.0021,0.2000 ± 0.4472,0.0111 ± 0.0248,0.0211 ± 0.0471
PC1,Logistic Regression,5,42,0.6484 ± 0.0000,0.1829 ± 0.0000,0.9074 ± 0.0000,0.2500 ± 0.0000,0.0556 ± 0.0000,0.0909 ± 0.0000
PC1,Random Forest,5,42,0.7354 ± 0.0105,0.2409 ± 0.0039,0.9157 ± 0.0021,0.4667 ± 0.0745,0.1000 ± 0.0248,0.1645 ± 0.0387
PC1,MLP,5,42,0.7635 ± 0.0211,0.1960 ± 0.0139,0.8935 ± 0.0065,0.0333 ± 0.0745,0.0111 ± 0.0248,0.0167 ± 0.0373
