Dataset,Baseline,Metric,n,Hybrid Mean,Baseline Mean,Δ Hybrid − Baseline,Wilcoxon p,Wilcoxon Holm p,Exact Sign-Flip p,Sign-Flip Holm p,Rank-Biserial,Observed Direction
CM1,Logistic Regression,F1,5,0.1164835164835164,0.1538461538461538,-0.0373626373626373,0.125,1.0,0.125,1.0,-1.0,hybrid_attention_lower
CM1,MLP,F1,5,0.1164835164835164,0.0923076923076922,0.0241758241758241,1.0,1.0,1.0,1.0,0.0,hybrid_attention_higher
CM1,Random Forest,F1,5,0.1164835164835164,0.0307692307692307,0.0857142857142856,0.25,1.0,0.25,1.0,1.0,hybrid_attention_higher
JM1,Logistic Regression,F1,5,0.1677261478437791,0.1670061099796334,0.0007200378641456,1.0,1.0,1.0,1.0,-0.0666666666666666,hybrid_attention_higher
JM1,MLP,F1,5,0.1677261478437791,0.2703543619257408,-0.1026282140819618,0.0625,0.9375,0.0625,0.9375,-1.0,hybrid_attention_lower
JM1,Random Forest,F1,5,0.1677261478437791,0.2894277627352988,-0.1217016148915197,0.0625,0.9375,0.0625,0.9375,-1.0,hybrid_attention_lower
KC1,Logistic Regression,F1,5,0.1534031087437311,0.2142857142857142,-0.0608826055419831,0.0625,0.9375,0.0625,0.9375,-1.0,hybrid_attention_lower
KC1,MLP,F1,5,0.1534031087437311,0.2844575290284811,-0.13105442028475,0.0625,0.9375,0.0625,0.9375,-1.0,hybrid_attention_lower
KC1,Random Forest,F1,5,0.1534031087437311,0.3234137757667169,-0.1700106670229858,0.0625,0.9375,0.0625,0.9375,-1.0,hybrid_attention_lower
KC2,Logistic Regression,F1,5,0.4441906733367833,0.4,0.0441906733367833,0.0625,0.9375,0.0625,0.9375,1.0,hybrid_attention_higher
KC2,MLP,F1,5,0.4441906733367833,0.4884033613445377,-0.0442126880077544,0.0625,0.9375,0.0625,0.9375,-1.0,hybrid_attention_lower
KC2,Random Forest,F1,5,0.4441906733367833,0.4556451612903226,-0.0114544879535392,0.625,1.0,0.5,1.0,-0.4,hybrid_attention_lower
PC1,Logistic Regression,F1,5,0.0210526315789473,0.0909090909090909,-0.0698564593301435,0.125,1.0,0.125,1.0,-0.8666666666666667,hybrid_attention_lower
PC1,MLP,F1,5,0.0210526315789473,0.0166666666666666,0.0043859649122806,1.0,1.0,1.0,1.0,0.3333333333333333,hybrid_attention_higher
PC1,Random Forest,F1,5,0.0210526315789473,0.1645021645021644,-0.1434495329232171,0.125,1.0,0.125,1.0,-0.8666666666666667,hybrid_attention_lower
CM1,Logistic Regression,PR-AUC,5,0.262807933922231,0.3607520676839967,-0.0979441337617656,0.0625,0.9375,0.0625,0.9375,-1.0,hybrid_attention_lower
CM1,MLP,PR-AUC,5,0.262807933922231,0.3342312084292294,-0.0714232745069982,0.0625,0.9375,0.0625,0.9375,-1.0,hybrid_attention_lower
CM1,Random Forest,PR-AUC,5,0.262807933922231,0.3154733095274169,-0.0526653756051858,0.0625,0.9375,0.0625,0.9375,-1.0,hybrid_attention_lower
JM1,Logistic Regression,PR-AUC,5,0.3792354380074763,0.3753051177070119,0.0039303203004643,0.0625,0.9375,0.0625,0.9375,1.0,hybrid_attention_higher
