Dataset,Variant,Metric,Mean,SD,Mean ± SD
CM1,A0 Full Hybrid Attention,F1,0.116484,0.06529,0.1165 ± 0.0653
CM1,A1 No Self-Attention,F1,0.0,0.0,0.0000 ± 0.0000
CM1,A2 No Semantic Tokenization,F1,0.0,0.0,0.0000 ± 0.0000
CM1,A3 Single-Head Attention,F1,0.110769,0.113146,0.1108 ± 0.1131
JM1,A0 Full Hybrid Attention,F1,0.167726,0.03068,0.1677 ± 0.0307
JM1,A1 No Self-Attention,F1,0.159953,0.028855,0.1600 ± 0.0289
JM1,A2 No Semantic Tokenization,F1,0.140633,0.017384,0.1406 ± 0.0174
JM1,A3 Single-Head Attention,F1,0.172482,0.033852,0.1725 ± 0.0339
KC1,A0 Full Hybrid Attention,F1,0.153403,0.023309,0.1534 ± 0.0233
KC1,A1 No Self-Attention,F1,0.173982,0.0274,0.1740 ± 0.0274
KC1,A2 No Semantic Tokenization,F1,0.224908,0.04732,0.2249 ± 0.0473
KC1,A3 Single-Head Attention,F1,0.164478,0.012308,0.1645 ± 0.0123
KC2,A0 Full Hybrid Attention,F1,0.444191,0.025074,0.4442 ± 0.0251
KC2,A1 No Self-Attention,F1,0.383035,0.025452,0.3830 ± 0.0255
KC2,A2 No Semantic Tokenization,F1,0.446156,0.012993,0.4462 ± 0.0130
KC2,A3 Single-Head Attention,F1,0.377929,0.04425,0.3779 ± 0.0442
PC1,A0 Full Hybrid Attention,F1,0.021053,0.047075,0.0211 ± 0.0471
PC1,A1 No Self-Attention,F1,0.0,0.0,0.0000 ± 0.0000
PC1,A2 No Semantic Tokenization,F1,0.0,0.0,0.0000 ± 0.0000
PC1,A3 Single-Head Attention,F1,0.0,0.0,0.0000 ± 0.0000
CM1,A0 Full Hybrid Attention,PR-AUC,0.262808,0.013786,0.2628 ± 0.0138
CM1,A1 No Self-Attention,PR-AUC,0.213672,0.027046,0.2137 ± 0.0270
CM1,A2 No Semantic Tokenization,PR-AUC,0.30393,0.014223,0.3039 ± 0.0142
CM1,A3 Single-Head Attention,PR-AUC,0.253821,0.022982,0.2538 ± 0.0230
JM1,A0 Full Hybrid Attention,PR-AUC,0.379235,0.003556,0.3792 ± 0.0036
JM1,A1 No Self-Attention,PR-AUC,0.376977,0.005255,0.3770 ± 0.0053
JM1,A2 No Semantic Tokenization,PR-AUC,0.364944,0.003811,0.3649 ± 0.0038
JM1,A3 Single-Head Attention,PR-AUC,0.378616,0.005464,0.3786 ± 0.0055
KC1,A0 Full Hybrid Attention,PR-AUC,0.358578,0.002496,0.3586 ± 0.0025
KC1,A1 No Self-Attention,PR-AUC,0.356667,0.00571,0.3567 ± 0.0057
KC1,A2 No Semantic Tokenization,PR-AUC,0.372446,0.02078,0.3724 ± 0.0208
KC1,A3 Single-Head Attention,PR-AUC,0.351344,0.014742,0.3513 ± 0.0147
KC2,A0 Full Hybrid Attention,PR-AUC,0.581355,0.010451,0.5814 ± 0.0105
KC2,A1 No Self-Attention,PR-AUC,0.584697,0.005731,0.5847 ± 0.0057
KC2,A2 No Semantic Tokenization,PR-AUC,0.605465,0.02442,0.6055 ± 0.0244
KC2,A3 Single-Head Attention,PR-AUC,0.579213,0.011187,0.5792 ± 0.0112
PC1,A0 Full Hybrid Attention,PR-AUC,0.239909,0.007416,0.2399 ± 0.0074
PC1,A1 No Self-Attention,PR-AUC,0.215603,0.021215,0.2156 ± 0.0212
PC1,A2 No Semantic Tokenization,PR-AUC,0.214376,0.04533,0.2144 ± 0.0453
PC1,A3 Single-Head Attention,PR-AUC,0.243499,0.016828,0.2435 ± 0.0168
CM1,A0 Full Hybrid Attention,ROC-AUC,0.798737,0.013029,0.7987 ± 0.0130
CM1,A1 No Self-Attention,ROC-AUC,0.702947,0.041358,0.7029 ± 0.0414
CM1,A2 No Semantic Tokenization,ROC-AUC,0.828632,0.00963,0.8286 ± 0.0096
CM1,A3 Single-Head Attention,ROC-AUC,0.779158,0.015779,0.7792 ± 0.0158
JM1,A0 Full Hybrid Attention,ROC-AUC,0.72211,0.002623,0.7221 ± 0.0026
JM1,A1 No Self-Attention,ROC-AUC,0.720294,0.001875,0.7203 ± 0.0019
JM1,A2 No Semantic Tokenization,ROC-AUC,0.718501,0.002592,0.7185 ± 0.0026
JM1,A3 Single-Head Attention,ROC-AUC,0.722046,0.00365,0.7220 ± 0.0037
KC1,A0 Full Hybrid Attention,ROC-AUC,0.761043,0.008901,0.7610 ± 0.0089
KC1,A1 No Self-Attention,ROC-AUC,0.756046,0.005014,0.7560 ± 0.0050
KC1,A2 No Semantic Tokenization,ROC-AUC,0.777342,0.009784,0.7773 ± 0.0098
KC1,A3 Single-Head Attention,ROC-AUC,0.755715,0.009728,0.7557 ± 0.0097
KC2,A0 Full Hybrid Attention,ROC-AUC,0.823114,0.006871,0.8231 ± 0.0069
KC2,A1 No Self-Attention,ROC-AUC,0.822793,0.004203,0.8228 ± 0.0042
KC2,A2 No Semantic Tokenization,ROC-AUC,0.827929,0.010439,0.8279 ± 0.0104
KC2,A3 Single-Head Attention,ROC-AUC,0.816105,0.008564,0.8161 ± 0.0086
PC1,A0 Full Hybrid Attention,ROC-AUC,0.688636,0.003494,0.6886 ± 0.0035
PC1,A1 No Self-Attention,ROC-AUC,0.671324,0.023348,0.6713 ± 0.0233
PC1,A2 No Semantic Tokenization,ROC-AUC,0.695903,0.014172,0.6959 ± 0.0142
PC1,A3 Single-Head Attention,ROC-AUC,0.686504,0.007837,0.6865 ± 0.0078
