epoch,train_loss,validation_loss,validation_roc_auc,validation_pr_auc,learning_rate
1,0.43799012296747963,0.28164247192485986,0.7895814376706096,0.26245998198233317,0.001
2,0.22216851245663502,0.2733288598165177,0.7427206551410374,0.24285247615346806,0.001
3,0.20827602498088849,0.2726597229116841,0.6931301182893539,0.24907280770653228,0.001
4,0.20815130502728543,0.27144802570865867,0.6621929026387625,0.2858277087405528,0.001
5,0.2033679779319717,0.27764750566137464,0.6553685168334851,0.2848414806848308,0.001
6,0.20113828617284832,0.28420844423579195,0.6408098271155596,0.2665627988575412,0.001
7,0.19184776182980418,0.2905196592603859,0.6380800727934487,0.2649150240017374,0.001
8,0.19108638476962198,0.30188321230704324,0.5998635122838945,0.2581773620469226,0.001
9,0.1851203679378013,0.3068696699426537,0.6248862602365787,0.2854861396473745,0.001
10,0.18799494144989182,0.3068376709625386,0.6035031847133758,0.2890084758009286,0.0005
11,0.17175615857512666,0.30838523063351186,0.5989535941765242,0.2888169087071972,0.0005
12,0.16954423334459848,0.31253436642388505,0.6098726114649682,0.291613801435636,0.0005
13,0.16974622525089006,0.3164693382486962,0.598498635122839,0.2817425943006511,0.0005
14,0.16711267556510143,0.3190098966292122,0.6103275705186533,0.29173698650294766,0.0005
