Dataset,Baseline,Metric,n,Hybrid Mean,Baseline Mean,Mean Δ,95% CI Lower,95% CI Upper,Paired Cohen's d,Rank-Biserial
CM1,Logistic Regression,F1,5,0.1164835164835164,0.1538461538461538,-0.0373626373626373,-0.1184307476023277,0.043705472877053,-0.5722575936945501,-1.0
CM1,MLP,F1,5,0.1164835164835164,0.0923076923076922,0.0241758241758241,-0.1341845410025957,0.182536189354244,0.189556588052853,0.0
CM1,Random Forest,F1,5,0.1164835164835164,0.0307692307692307,0.0857142857142856,-0.0114410543797509,0.1828696258083223,1.0954451150103324,1.0
JM1,Logistic Regression,F1,5,0.1677261478437791,0.1670061099796334,0.0007200378641456,-0.037373898499195,0.0388139742274864,0.0234694856610725,-0.0666666666666666
JM1,MLP,F1,5,0.1677261478437791,0.2703543619257408,-0.1026282140819618,-0.1753588637371692,-0.0298975644267543,-1.7520778272932285,-1.0
JM1,Random Forest,F1,5,0.1677261478437791,0.2894277627352988,-0.1217016148915197,-0.1570886448886819,-0.0863145848943575,-4.270279640483468,-1.0
KC1,Logistic Regression,F1,5,0.1534031087437311,0.2142857142857142,-0.0608826055419831,-0.0898241389808296,-0.0319410721031365,-2.612015689426247,-1.0
KC1,MLP,F1,5,0.1534031087437311,0.2844575290284811,-0.13105442028475,-0.1812058490791897,-0.0809029914903103,-3.244684336711876,-1.0
KC1,Random Forest,F1,5,0.1534031087437311,0.3234137757667169,-0.1700106670229858,-0.2027103592366952,-0.1373109748092763,-6.4555997400045,-1.0
KC2,Logistic Regression,F1,5,0.4441906733367833,0.4,0.0441906733367833,0.0130572883441807,0.0753240583293858,1.7624157524697135,1.0
KC2,MLP,F1,5,0.4441906733367833,0.4884033613445377,-0.0442126880077544,-0.0827891059566111,-0.0056362700588977,-1.4230793288227297,-1.0
KC2,Random Forest,F1,5,0.4441906733367833,0.4556451612903226,-0.0114544879535392,-0.0438166180455852,0.0209076421385067,-0.4394835960833137,-0.4
PC1,Logistic Regression,F1,5,0.0210526315789473,0.0909090909090909,-0.0698564593301435,-0.1283079352290445,-0.0114049834312425,-1.4839360214316792,-0.8666666666666667
PC1,MLP,F1,5,0.0210526315789473,0.0166666666666666,0.0043859649122806,-0.0787420103424847,0.0875139401670461,0.0655121782080418,0.3333333333333333
PC1,Random Forest,F1,5,0.0210526315789473,0.1645021645021644,-0.1434495329232171,-0.2499779803406947,-0.0369210855057395,-1.6720052240307215,-0.8666666666666667
CM1,Logistic Regression,PR-AUC,5,0.262807933922231,0.3607520676839967,-0.0979441337617656,-0.1150616177516652,-0.080826649771866,-7.104648369994,-1.0
CM1,MLP,PR-AUC,5,0.262807933922231,0.3342312084292294,-0.0714232745069982,-0.0961446385754049,-0.0467019104385916,-3.5873307129722845,-1.0
CM1,Random Forest,PR-AUC,5,0.262807933922231,0.3154733095274169,-0.0526653756051858,-0.0742587348451147,-0.031072016365257,-3.02837090395453,-1.0
JM1,Logistic Regression,PR-AUC,5,0.3792354380074763,0.3753051177070119,0.0039303203004643,-0.0004851193100428,0.0083457599109715,1.105243792007239,1.0
JM1,MLP,PR-AUC,5,0.3792354380074763,0.3629184289543012,0.016317009053175,-0.0011568596584076,0.0337908777647576,1.1594594782701289,0.8666666666666667
JM1,Random Forest,PR-AUC,5,0.3792354380074763,0.3854337568599045,-0.0061983188524283,-0.0109161210988708,-0.0014805166059857,-1.6313166526323206,-1.0
KC1,Logistic Regression,PR-AUC,5,0.3585775375215448,0.4164660042762571,-0.0578884667547122,-0.0609873862778426,-0.0547895472315818,-23.194543951219984,-1.0
KC1,MLP,PR-AUC,5,0.3585775375215448,0.3806815397489616,-0.0221040022274167,-0.0302080285452246,-0.0139999759096088,-3.386679991609786,-1.0
KC1,Random Forest,PR-AUC,5,0.3585775375215448,0.3781932534058961,-0.0196157158843513,-0.0343387951218657,-0.0048926366468368,-1.654282220429355,-1.0
KC2,Logistic Regression,PR-AUC,5,0.581355140882453,0.583305877050964,-0.0019507361685109,-0.0149269701333603,0.0110254977963383,-0.1866611589306493,-0.3333333333333333
KC2,MLP,PR-AUC,5,0.581355140882453,0.6083676266375528,-0.0270124857550997,-0.0469723542699787,-0.0070526172402207,-1.6803933873159935,-1.0
KC2,Random Forest,PR-AUC,5,0.581355140882453,0.5755942391526953,0.0057609017297577,-0.0213874549291,0.0329092583886156,0.2634820355764024,0.4666666666666667
PC1,Logistic Regression,PR-AUC,5,0.23990893000697,0.182942059470449,0.056966870536521,0.0477585439724218,0.0661751971006202,7.681494758374992,1.0
PC1,MLP,PR-AUC,5,0.23990893000697,0.1959535188258386,0.0439554111811314,0.0227859349394983,0.0651248874227644,2.5781389660703224,1.0
PC1,Random Forest,PR-AUC,5,0.23990893000697,0.2408771404721885,-0.0009682104652184,-0.0087863019166376,0.0068498809862006,-0.1537705314418757,-0.3333333333333333
CM1,Logistic Regression,ROC-AUC,5,0.7987368421052631,0.8536842105263158,-0.0549473684210526,-0.0711248109773593,-0.038769925864746,-4.217364328570112,-1.0
CM1,MLP,ROC-AUC,5,0.7987368421052631,0.8698947368421053,-0.0711578947368421,-0.0908630654465937,-0.0514527240270905,-4.483807696169096,-1.0
CM1,Random Forest,ROC-AUC,5,0.7987368421052631,0.8221052631578948,-0.0233684210526315,-0.0520803845643736,0.0053435424591104,-1.0105796875944515,-0.8666666666666667
JM1,Logistic Regression,ROC-AUC,5,0.722110250662319,0.7184515318252835,0.0036587188370356,0.0004018353514472,0.006915602322624,1.394860909086636,0.8666666666666667
JM1,MLP,ROC-AUC,5,0.722110250662319,0.697703167810158,0.0244070828521613,0.017015191572457,0.0317989741318655,4.099816262438017,1.0
JM1,Random Forest,ROC-AUC,5,0.722110250662319,0.718030364785001,0.004079885877318,-0.0007096006497288,0.008869372404365,1.057701568224129,0.8666666666666667
KC1,Logistic Regression,ROC-AUC,5,0.7610427315477406,0.7800245348599468,-0.018981803312206,-0.030033358803445,-0.0079302478209671,-2.132642939940483,-1.0
KC1,MLP,ROC-AUC,5,0.7610427315477406,0.7667552647720303,-0.0057125332242895,-0.0240470431479819,0.0126219766994028,-0.3868686358492396,-0.2
KC1,Random Forest,ROC-AUC,5,0.7610427315477406,0.7676098957268452,-0.0065671641791044,-0.0213761855974807,0.0082418572392718,-0.5506245889663562,-0.6
KC2,Logistic Regression,ROC-AUC,5,0.8231139646869983,0.8239700374531835,-0.0008560727661852,-0.0093878210548703,0.0076756755224999,-0.1245881497728403,-0.0666666666666666
KC2,MLP,ROC-AUC,5,0.8231139646869983,0.8584269662921347,-0.0353130016051365,-0.0417412211805826,-0.0288847820296904,-6.820999539140187,-1.0
KC2,Random Forest,ROC-AUC,5,0.8231139646869983,0.8188336008560727,0.0042803638309255,0.0001315199660428,0.0084292076958083,1.2810252304406866,1.0
PC1,Logistic Regression,ROC-AUC,5,0.6886363636363637,0.6484287317620652,0.0402076318742985,0.0358691549826797,0.0445461087659172,11.50734928375279,1.0
PC1,MLP,ROC-AUC,5,0.6886363636363637,0.7635241301907969,-0.0748877665544331,-0.1025561530882191,-0.0472193800206471,-3.3607107347218395,-1.0
PC1,Random Forest,ROC-AUC,5,0.6886363636363637,0.7354096520763187,-0.046773288439955,-0.0620715623633527,-0.0314750145165574,-3.796291570166503,-1.0
