Dataset,Ablation,Metric,Full Hybrid Mean,Ablation Mean,Δ Ablation − Full,95% CI Lower,95% CI Upper,Paired Cohen's d,Rank-Biserial,Wilcoxon p,Wilcoxon Holm p,Exact Sign-Flip p,Sign-Flip Holm p,Observed Direction
CM1,A1 No Self-Attention,F1,0.1164835164835164,0.0,-0.1164835164835164,-0.1975516267232068,-0.035415406243826,-1.7840972038712437,-1.0,0.125,1.0,0.125,1.0,ablation_lower
CM1,A2 No Semantic Tokenization,F1,0.1164835164835164,0.0,-0.1164835164835164,-0.1975516267232068,-0.035415406243826,-1.7840972038712437,-1.0,0.125,1.0,0.125,1.0,ablation_lower
CM1,A3 Single-Head Attention,F1,0.1164835164835164,0.1107692307692307,-0.0057142857142856,-0.1283904896108177,0.1169619181822463,-0.0578369938220693,0.0,1.0,1.0,0.875,1.0,ablation_lower
JM1,A1 No Self-Attention,F1,0.1677261478437791,0.1599527992048979,-0.0077733486388811,-0.0761998302009907,0.0606531329232284,-0.1410548508419817,-0.2,0.8125,1.0,0.75,1.0,ablation_lower
JM1,A2 No Semantic Tokenization,F1,0.1677261478437791,0.1406334859060494,-0.0270926619377296,-0.0730632913249019,0.0188779674494426,-0.7317712067908155,-0.6,0.3125,1.0,0.25,1.0,ablation_lower
JM1,A3 Single-Head Attention,F1,0.1677261478437791,0.1724820969234231,0.004755949079644,-0.0265170272938122,0.0360289254531003,0.1888304675245635,0.2,0.8125,1.0,0.75,1.0,ablation_higher
KC1,A1 No Self-Attention,F1,0.1534031087437311,0.1739818703295195,0.0205787615857884,0.0027910710987239,0.0383664520728529,1.4364938161743903,0.8666666666666667,0.125,1.0,0.125,1.0,ablation_higher
KC1,A2 No Semantic Tokenization,F1,0.1534031087437311,0.2249083175189225,0.0715052087751914,0.0316417861484476,0.1113686314019351,2.2272408531382477,1.0,0.0625,0.9375,0.0625,0.9375,ablation_higher
KC1,A3 Single-Head Attention,F1,0.1534031087437311,0.1644781144781144,0.0110750057343833,-0.0143299101422965,0.0364799216110632,0.5412903536872958,0.4666666666666667,0.4375,1.0,0.3125,1.0,ablation_higher
KC2,A1 No Self-Attention,F1,0.4441906733367833,0.3830351183855077,-0.0611555549512756,-0.1113388546222534,-0.0109722552802977,-1.5131458347902504,-1.0,0.0625,0.9375,0.0625,0.9375,ablation_lower
KC2,A2 No Semantic Tokenization,F1,0.4441906733367833,0.4461559139784946,0.0019652406417112,-0.023401291372541,0.0273317726559634,0.0961963799879565,0.0,1.0,1.0,1.0,1.0,ablation_higher
KC2,A3 Single-Head Attention,F1,0.4441906733367833,0.3779285714285714,-0.0662621019082119,-0.1489446039910066,0.0164204001745827,-0.9950747051939596,-0.7333333333333333,0.1875,1.0,0.1875,1.0,ablation_lower
PC1,A1 No Self-Attention,F1,0.0210526315789473,0.0,-0.0210526315789473,-0.0795041074778483,0.0373988443199536,-0.4472135954999579,-1.0,1.0,1.0,1.0,1.0,ablation_lower
PC1,A2 No Semantic Tokenization,F1,0.0210526315789473,0.0,-0.0210526315789473,-0.0795041074778483,0.0373988443199536,-0.4472135954999579,-1.0,1.0,1.0,1.0,1.0,ablation_lower
PC1,A3 Single-Head Attention,F1,0.0210526315789473,0.0,-0.0210526315789473,-0.0795041074778483,0.0373988443199536,-0.4472135954999579,-1.0,1.0,1.0,1.0,1.0,ablation_lower
CM1,A1 No Self-Attention,PR-AUC,0.262807933922231,0.213672447265476,-0.049135486656755,-0.0958307845186964,-0.0024401887948135,-1.3065505010010805,-0.8666666666666667,0.125,1.0,0.125,1.0,ablation_lower
